Reactant,TS,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
893_MA-TS_27-28_Reactant,893_MA-TS_27-28,893_MA-TS_27-28_Product,-0.110675740885,-0.103142526794,-0.109576192476,0.349891,0.362857,0.355324,4.73,4.04,0.69,8.14,4.73,3.41
896_MA-TS_31-32_Reactant,896_MA-TS_31-32,896_MA-TS_31-32_Product,-0.591646241946,-0.508045952647,-0.678482201688,0.417654,0.428565,0.416921,52.46,106.95,-54.49,6.85,7.31,-0.46
897_MA-TS_32-33_Reactant,897_MA-TS_32-33,897_MA-TS_32-33_Product,-0.463148677053,-0.464002561248,-0.476829239803,0.042579,0.043076,0.031277,-0.54,8.05,-8.58,0.31,7.4,-7.09
900_MA-TS_30-31_Reactant,900_MA-TS_30-31,900_MA-TS_30-31_Product,-0.471487232277,-0.468360141427,-0.489057771578,0.03897,0.043135,0.027094,1.96,12.99,-11.03,2.61,10.07,-7.45
904_MA-TS_31-32_Reactant,904_MA-TS_31-32,904_MA-TS_31-32_Product,-0.552128241621,-0.55093774739,-0.562238184385,-0.044923,-0.041336,-0.050335,0.75,7.09,-6.34,2.25,5.65,-3.4
916_MA-TS_39-40_Reactant,916_MA-TS_39-40,916_MA-TS_39-40_Product,-0.653049648722,-0.658360608471,-0.67369030889,-0.023051,-0.027404,-0.040841,-3.33,9.62,-12.95,-2.73,8.43,-11.16
917_MA-TS_31-32_Reactant,917_MA-TS_31-32,917_MA-TS_31-32_Product,-0.482976514383,-0.475239387403,-0.479854958828,0.025038,0.03229,0.030257,4.86,2.9,1.96,4.55,1.28,3.27
919_MA-TS_36-37_Reactant,919_MA-TS_36-37,919_MA-TS_36-37_Product,-0.603345121872,-0.607647081912,-0.628413799617,-0.029676,-0.025014,-0.038588,-2.7,13.03,-15.73,2.93,8.52,-5.59
920_MA-TS_32-33_Reactant,920_MA-TS_32-33,920_MA-TS_32-33_Product,-0.674121981689,-0.674975277896,-0.687723715328,-0.217227,-0.218871,-0.226992,-0.54,8.0,-8.54,-1.03,5.1,-6.13
922_MA-TS_36-37_Reactant,922_MA-TS_36-37,922_MA-TS_36-37_Product,-0.614379607577,-0.620570218182,-0.622707246812,-0.068715,-0.074121,-0.077624,-3.88,1.34,-5.23,-3.39,2.2,-5.59
924_MA-TS_28-29_Reactant,924_MA-TS_28-29,924_MA-TS_28-29_Product,-0.350330987185,-0.351426405342,-0.364342984932,0.104517,0.106264,0.096341,-0.69,8.11,-8.79,1.1,6.23,-5.13
926_MA-TS_31-32_Reactant,926_MA-TS_31-32,926_MA-TS_31-32_Product,-0.413973725688,-0.407063428207,-0.432811160174,0.05336,0.05957,0.035673,4.34,16.16,-11.82,3.9,15.0,-11.1
929_MA-TS_30-31_Reactant,929_MA-TS_30-31,929_MA-TS_30-31_Product,-0.492571430947,-0.488037981228,-0.509673536392,0.027964,0.033633,0.013547,2.84,13.58,-10.73,3.56,12.6,-9.05
935_MA-TS_29-30_Reactant,935_MA-TS_29-30,935_MA-TS_29-30_Product,-0.475013919585,-0.470333676159,-0.480133273017,0.008996,0.018013,0.009473,2.94,6.15,-3.21,5.66,5.36,0.3
937_MA-TS_33-34_Reactant,937_MA-TS_33-34,937_MA-TS_33-34_Product,-0.733636732052,-0.716267414211,-0.75036714562,-0.212125,-0.194185,-0.226861,10.9,21.4,-10.5,11.26,20.5,-9.25
938_MA-TS_31-32_Reactant,938_MA-TS_31-32,938_MA-TS_31-32_Product,-0.597329253748,-0.591046179265,-0.608949804243,-0.127874,-0.117208,-0.132843,3.94,11.23,-7.29,6.69,9.81,-3.12
941_MA-TS_28-29_Reactant,941_MA-TS_28-29,941_MA-TS_28-29_Product,-0.421079731396,-0.421973489424,-0.434659594945,0.029911,0.028682,0.020936,-0.56,7.96,-8.52,-0.77,4.86,-5.63
