Datapoint,SASA,SASV,FracBuriedVol,SterimolB1,SterimolB5,SterimolL,Pint
8_MA-TS_7-8,983.3677362247154,1887.1750596417858,0.3418165300037272,2.7002410727824264,13.667480383717324,11.16528592697432,22.915649378777676
16_MA-TS_7-8,838.0384955687994,1743.983015499264,0.37113306000745433,1.983521748025539,13.069398880765593,10.007778753264418,24.532162989162902
18_MA-TS_7-8,921.3039241786532,1804.5494653428432,0.29837751584047706,2.0576353184799734,14.185367354178338,10.615871826458532,23.059756311655285
22_MA-TS_5-6,790.8486611422414,1465.9405498625554,0.5860918281774133,2.2587452899979734,12.736326155530884,8.274726343142778,22.494667596045712
24_MA-TS_5-6,816.6382502389671,1457.6821869967607,0.3995935054043981,3.0069734755151503,13.088706273133026,14.052138585134237,21.30990130097591
25_MA-TS_5-6,565.2462132500505,985.4357354898,0.39729314200521804,3.5869928238608,6.831914983073565,11.637213859883406,20.4958762012646
28_MA-TS_5-6,658.8386282051061,1184.7082226205957,0.43738934960864706,3.4410149537095407,9.098972480216135,8.054521784519155,21.527792940518026
31_MA-TS_5-6,610.1582854939046,1124.177731698527,0.5114377562430116,3.7540034845507546,8.56154805163399,10.17285346558924,22.307339863508744
33_MA-TS_5-6,535.4151833550718,902.3500404475471,0.4530259970182631,3.26441398775688,7.436865939994133,7.781464394936158,20.575843260898502
34_MA-TS_5-6,600.3082197238691,1039.1919343430918,0.4191378587402162,4.1582981414843285,6.902215197100929,10.293718096069316,20.50580823661705
35_MA-TS_5-6,531.4068871804074,939.1549701902294,0.512171543048826,3.4422488891439595,6.3934627478302595,9.462274032886585,21.00937721721647
36_MA-TS_5-6,676.5879893240859,1178.5701084568716,0.6383595788296683,3.9118369651991283,7.954747285231797,9.34861839049584,21.14206930036044
37_MA-TS_5-6,582.3274176437944,1043.684932969462,0.5054626351099516,2.7315936641669434,9.832693393238864,6.899801897713159,21.44379361971086
38_MA-TS_5-6,616.6963011426685,1065.809470467639,0.3958255683935893,3.4664388043049064,8.235764118559725,12.088173378544488,20.582796837724516
41_MA-TS_5-6,627.8381380652318,1129.1588758525718,0.43907822400298174,3.4785564999034726,9.214588771871178,9.420640506056792,21.84508455860268
42_MA-TS_5-6,740.2679750139287,1402.8270679206184,0.45205926202012675,2.5650406661422465,8.419895605826637,10.786618917330586,22.635761310684906
44_MA-TS_5-6,741.1087732383385,1365.157689588554,0.455419539694372,3.249097637367506,11.139224044739617,10.691965877524751,22.218630674161776
46_MA-TS_7-8,829.3262808893285,1684.008508053858,0.3527243291092061,1.9899171570811847,13.548666653459366,8.082813366394047,23.89819512736923
49_MA-TS_7-8,994.7467199124534,1848.5336663879034,0.28699799664554604,2.026378136845904,13.552533107068529,12.879290457594742,22.308759157405454
50_MA-TS_7-8,875.8364178096308,1742.9190736994262,0.35469856503913527,1.9811567260097926,12.443043985876116,13.110205692940896,23.83381688431887
55_MA-TS_7-8,891.8870448470315,1704.0563389975491,0.34666185240402536,1.9910949833316554,15.662399378269175,6.148293115286831,22.674851743474473
57_MA-TS_7-8,894.5057570601326,1698.5550030252361,0.38435869362653746,1.9801735976623625,16.953229505286963,7.266939160603368,22.769990584199835
59_MA-TS_7-8,966.319185825373,1835.2021070738535,0.4921612933283638,2.3156402259451223,12.533215771173605,10.12790755626863,23.211730073259208
60_MA-TS_7-8,891.0867073858227,1786.8778671890336,0.37449916138650763,1.9862565625233857,11.242112712274883,8.026201645088495,23.99293339273887
63_MA-TS_7-8,906.2263609113963,1756.6549309944344,0.6309285314945956,4.381020953342286,11.246769822529284,5.387463671199372,23.360853705745598
64_MA-TS_7-8,995.8843578334024,1846.5858578809887,0.45837215803205367,1.9833914088904643,13.229474318932331,10.832597377375508,22.471496811322037
65_MA-TS_27-28,871.0751245637833,1745.0746146748115,0.4728615355944838,1.7977673807867456,10.466754982326911,8.666101658102358,24.152747087332422
67_MA-TS_22-28,716.1366576179618,1334.741327605771,0.2145685799478196,1.622671316401044,13.338691450582276,13.252722197146658,22.714888976406076
69_MA-TS_24-25,857.3469106846494,1591.3011016715757,0.33155516213194186,2.031194023491513,14.14495494678747,5.765336199201412,22.35714457189122
71_MA-TS_25-26,861.916068991143,1567.1633123295096,0.3448623276183377,2.0281262413679197,13.507726493768258,11.276976101046579,21.442759109682363
73_MA-TS_22-28,845.1356348370899,1531.2397652503762,0.23053135482668655,1.8742724290573252,12.362953907528015,16.15482891785625,21.80322241037991
74_MA-TS_22-31,841.5880694435479,1503.8134699316236,0.2147724096161014,1.6231596415576655,15.856358520409643,12.985764436223374,21.461572797640617
78_MA-TS_24-25,783.1073757835082,1450.3155569948867,0.32786875698844575,1.6279146326493281,17.03517159222625,5.8117782913466565,22.432903540495786
79_MA-TS_25-26,940.5656461079999,1735.6933621311655,0.28160524599329106,2.0938076471529725,11.758251379678004,14.336177202364217,22.291965746249755
82_MA-TS_24-25,905.8975783845481,1693.8243886038417,0.2144171636228103,1.6229674791852648,16.397436567952074,15.753000271969924,22.505408495724595
85_MA-TS_25-26,998.6891474754106,1758.4671439996623,0.28232738538948937,1.9886197909760175,11.696572044618545,14.53025908965979,21.261992433060335
87_MA-TS_24-25,765.3668447631909,1468.3031151139432,0.4450533451360417,2.917877105805318,8.725478408366174,5.438242209890952,23.198321799615687
92_MA-TS_24-25,692.9566296756238,1308.4957049052587,0.44496598956392097,1.9134604602838678,13.034718575044506,6.5614840969730075,23.127416280313433
94_MA-TS_24-25,955.8582351923471,1738.7752730662264,0.2145219903093552,1.6230663310892024,10.189286250677776,23.776448368268944,21.99932536227133
103_MA-TS_24-25,825.9983888123296,1548.868734074494,0.2910629426015654,1.6266262855224252,12.58157533329583,5.016148423417251,22.95897185476163
106_MA-TS_4-5,851.6873430800184,1525.3829159970926,0.35254379426015653,1.6262009734950675,15.849492264532065,11.067193078152105,21.544684156639825
109_MA-TS_24-25,820.7272009565238,1517.6270104629277,0.23987257733879985,1.627284600477679,18.82453872769335,6.2793929696053805,22.28602947481335
111_MA-TS_24-25,837.0352740930008,1467.787371634001,0.21507524226612001,1.6229572684195497,15.75038989554291,14.71213478996002,20.593282054535546
112_MA-TS_22-30,808.1883068903219,1471.5065768778281,0.21474329109206114,1.6231136041137986,15.709908307878692,13.79516620646346,21.98400923289286
114_MA-TS_24-25,769.4766637389337,1432.5898171207525,0.2748264535967201,1.6300941294548321,16.496013437673465,6.859765606932733,22.35723989463274
115_MA-TS_24-25,822.0472298633282,1515.066301167786,0.23871366008199776,1.8191285673391726,13.613720718379986,15.88519758170891,22.466038767306852
118_MA-TS_24-25,821.9773476441105,1409.3876531666506,0.2153489563920984,1.6222817687842919,15.622721188854966,13.524483072118754,20.942464009705727
120_MA-TS_5-6,685.2568021957031,1283.7182206290854,0.5580681606410735,2.893466364315471,11.577255946035221,7.801108913759858,24.010245612132344
154_MA-TS_13-14,808.2263987412958,1534.4309459826254,0.3934029071934402,4.208927494375634,8.641390946769814,12.795805592070817,22.910235131141683
170_MA-TS_5-6,787.6946165280847,1374.2921967384104,0.38439945956019383,2.819323409141521,9.005662135710928,17.117029899459208,21.480671955111976
171_MA-TS_5-6,804.2932974248571,1427.885366449127,0.6678974096161013,3.9083610594969462,9.1039084520825,8.049954226873105,21.570017229977324
173_MA-TS_5-6,773.323936335926,1403.4768848062367,0.5042687756243012,1.9814558049497737,11.921162683054673,8.46918933159848,22.120447356508933
175_MA-TS_5-6,778.7348491289024,1366.4033373931738,0.6322854547148714,4.212045612198292,10.076828051318751,11.284248280190903,21.676749383362345
176_MA-TS_5-6,758.8187026443563,1401.5020512497665,0.622018263138278,2.6837079936166077,7.711835028244893,13.899390356495873,22.889037629139928
178_MA-TS_5-6,739.4693275278373,1309.157064118865,0.6318428531494595,2.0739008076364347,7.551412453372178,7.704340501333307,22.469477094411623
180_MA-TS_5-6,742.5768677925922,1319.8409057016847,0.5623660547894148,2.0987100856903558,10.663733921359029,7.9923374028260685,22.199124959503138
184_MA-TS_5-6,793.2950574537908,1370.1313732973472,0.3884527581065971,2.901574847162852,8.496634162150258,16.812155448275114,21.597142598542497
185_MA-TS_5-6,771.6143922602125,1397.0395316444328,0.7132465989563921,4.56373247313117,8.369520144288826,8.084633377090201,22.48962853170154
187_MA-TS_5-6,838.2045811828468,1460.2173344353264,0.4532240029817369,3.2282748591640917,8.078447354735497,16.340935124627094,21.55425728282803
