Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
1389_MA-TS_4-5_Reactant,1389_MA-TS_4-5,1389_MA-TS_4-5_Product,-3142.37653737,-3142.36183686,-3142.37464586,-3141.701255,-3141.68439,-3141.695987,9.22,8.04,1.19,10.58,7.28,3.31
1391_MA-TS_27-28_Reactant,1391_MA-TS_27-28,1391_MA-TS_27-28_Product,-2397.72745625,-2397.70074382,-2397.70319843,-2397.123712,-2397.098066,-2397.1008,16.76,1.54,15.22,16.09,1.72,14.38
1392_MA-TS_4-5_Reactant,1392_MA-TS_4-5,1392_MA-TS_4-5_Product,-3117.82485141,-3117.79521266,-3117.80351944,-3117.25038,-3117.221895,-3117.228641,18.6,5.21,13.39,17.87,4.23,13.64
1393_MA-TS_4-5_Reactant,1393_MA-TS_4-5,1393_MA-TS_4-5_Product,-2512.94345585,-2512.91126858,-2512.9141161,-2512.365365,-2512.330511,-2512.334067,20.2,1.79,18.41,21.87,2.23,19.64
1394_MA-TS_27-28_Reactant,1394_MA-TS_27-28,1394_MA-TS_27-28_Product,-2436.99355721,-2436.9698129,-2437.00971464,-2436.364063,-2436.337678,-2436.372906,14.9,25.04,-10.14,16.56,22.11,-5.55
1395_MA-TS_28-29_Reactant,1395_MA-TS_28-29,1395_MA-TS_28-29_Product,-2456.45445828,-2456.42196727,-2456.43063993,-2455.786732,-2455.758782,-2455.763581,20.39,5.44,14.95,17.54,3.01,14.53
1398_MA-TS_9-10_Reactant,1398_MA-TS_9-10,1398_MA-TS_9-10_Product,-3070.84298392,-3070.79475932,-3070.80291205,-3070.227612,-3070.182513,-3070.18721,30.26,5.12,25.15,28.3,2.95,25.35
1399_MA-TS_10-11_Reactant,1399_MA-TS_10-11,1399_MA-TS_10-11_Product,-2765.82506867,-2765.80889643,-2765.81489293,-2765.292321,-2765.274301,-2765.277418,10.15,3.76,6.39,11.31,1.96,9.35
1404_MA-TS_31-32_Reactant,1404_MA-TS_31-32,1404_MA-TS_31-32_Product,-3430.78016754,-3430.7526128,-3430.75663976,-3430.168449,-3430.139687,-3430.143417,17.29,2.53,14.76,18.05,2.34,15.71
1406_MA-TS_10-11_Reactant,1406_MA-TS_10-11,1406_MA-TS_10-11_Product,-2843.10778959,-2843.09982294,-2843.11104597,-2842.539692,-2842.52754,-2842.536637,5.0,7.04,-2.04,7.63,5.71,1.92
