Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
1611_MA-TS_35-36_Reactant,1611_MA-TS_35-36,1611_MA-TS_35-36_Product,-2392.59904451,-2392.58133393,-2392.58600195,-2391.948767,-2391.928855,-2391.932267,11.11,2.93,8.18,12.49,2.14,10.35
1612_MA-TS_37-38_Reactant,1612_MA-TS_37-38,1612_MA-TS_37-38_Product,-2505.85201278,-2505.81067715,-2505.81468662,-2505.192442,-2505.154075,-2505.157202,25.94,2.52,23.42,24.08,1.96,22.11
1613_MA-TS_35-36_Reactant,1613_MA-TS_35-36,1613_MA-TS_35-36_Product,-2412.46583123,-2412.44308211,-2412.45264111,-2411.839663,-2411.811051,-2411.820147,14.28,6.0,8.28,17.95,5.71,12.25
1614_MA-TS_36-37_Reactant,1614_MA-TS_36-37,1614_MA-TS_36-37_Product,-2448.08680391,-2448.05758122,-2448.06556269,-2447.490201,-2447.454024,-2447.462345,18.34,5.01,13.33,22.7,5.22,17.48
1615_MA-TS_28-29_Reactant,1615_MA-TS_28-29,1615_MA-TS_28-29_Product,-2087.00326113,-2086.9980718,-2087.00844401,-2086.572921,-2086.564252,-2086.573261,3.26,6.51,-3.25,5.44,5.65,-0.21
1616_MA-TS_32-33_Reactant,1616_MA-TS_32-33,1616_MA-TS_32-33_Product,-2240.49363548,-2240.46921713,-2240.47330089,-2240.012549,-2239.985893,-2239.991871,15.32,2.56,12.76,16.73,3.75,12.98
1617_MA-TS_30-31_Reactant,1617_MA-TS_30-31,1617_MA-TS_30-31_Product,-2185.40583788,-2185.38121006,-2185.40141874,-2184.929975,-2184.90343,-2184.919428,15.45,12.68,2.77,16.66,10.04,6.62
1618_MA-TS_28-29_Reactant,1618_MA-TS_28-29,1618_MA-TS_28-29_Product,-2087.00225095,-2086.98836906,-2086.9960784,-2086.573892,-2086.557884,-2086.562936,8.71,4.84,3.87,10.05,3.17,6.87
1619_MA-TS_32-33_Reactant,1619_MA-TS_32-33,1619_MA-TS_32-33_Product,-2240.49958215,-2240.47352643,-2240.50491268,-2240.022685,-2239.996946,-2240.020553,16.35,19.7,-3.34,16.15,14.81,1.34
1620_MA-TS_29-30_Reactant,1620_MA-TS_29-30,1620_MA-TS_29-30_Product,-2667.87716978,-2667.84188737,-2667.85447528,-2667.435004,-2667.401246,-2667.411839,22.14,7.9,14.24,21.18,6.65,14.54
1622_MA-TS_34-35_Reactant,1622_MA-TS_34-35,1622_MA-TS_34-35_Product,-2855.05085331,-2855.04417662,-2855.04674743,-2854.486482,-2854.477762,-2854.479591,4.19,1.61,2.58,5.47,1.15,4.32
1624_MA-TS_35-36_Reactant,1624_MA-TS_35-36,1624_MA-TS_35-36_Product,-2858.46850801,-2858.44700623,-2858.45602693,-2857.856472,-2857.836147,-2857.841282,13.49,5.66,7.83,12.75,3.22,9.53
1626_MA-TS_35-36_Reactant,1626_MA-TS_35-36,1626_MA-TS_35-36_Product,-2857.23133626,-2857.19864563,-2857.20296176,-2856.64719,-2856.613413,-2856.616111,20.51,2.71,17.81,21.2,1.69,19.5
1627_MA-TS_33-34_Reactant,1627_MA-TS_33-34,1627_MA-TS_33-34_Product,-2760.07282318,-2760.06000195,-2760.06176762,-2759.503429,-2759.485313,-2759.486562,8.05,1.11,6.94,11.37,0.78,10.58
1628_MA-TS_41-42_Reactant,1628_MA-TS_41-42,1628_MA-TS_41-42_Product,-3124.9483206,-3124.91877475,-3124.91932699,-3124.211427,-3124.178281,-3124.180524,18.54,0.35,18.19,20.8,1.41,19.39
1629_MA-TS_35-36_Reactant,1629_MA-TS_35-36,1629_MA-TS_35-36_Product,-2873.2774685,-2873.25563623,-2873.25784921,-2872.704999,-2872.683804,-2872.686359,13.7,1.39,12.31,13.3,1.6,11.7
1630_MA-TS_37-38_Reactant,1630_MA-TS_37-38,1630_MA-TS_37-38_Product,-2987.69911427,-2987.69658452,-2987.71092809,-2987.091458,-2987.086795,-2987.097672,1.59,9.0,-7.41,2.93,6.83,-3.9
1631_MA-TS_39-40_Reactant,1631_MA-TS_39-40,1631_MA-TS_39-40_Product,-3102.1330206,-3102.11594798,-3102.11790769,-3101.488377,-3101.469748,-3101.471376,10.71,1.23,9.48,11.69,1.02,10.67
1633_MA-TS_38-39_Reactant,1633_MA-TS_38-39,1633_MA-TS_38-39_Product,-3026.98202472,-3026.94935661,-3026.95193533,-3026.34851,-3026.316225,-3026.318247,20.5,1.62,18.88,20.26,1.27,18.99
1634_MA-TS_34-35_Reactant,1634_MA-TS_34-35,1634_MA-TS_34-35_Product,-2799.35545692,-2799.33375194,-2799.34095569,-2798.761102,-2798.735111,-2798.742075,13.62,4.52,9.1,16.31,4.37,11.94
1638_MA-TS_37-38_Reactant,1638_MA-TS_37-38,1638_MA-TS_37-38_Product,-3096.7750663,-3096.74508844,-3096.76085512,-3096.201483,-3096.172388,-3096.186825,18.81,9.89,8.92,18.26,9.06,9.2
1639_MA-TS_35-36_Reactant,1639_MA-TS_35-36,1639_MA-TS_35-36_Product,-3197.39718126,-3197.38057725,-3197.39490601,-3196.798851,-3196.779927,-3196.790203,10.42,8.99,1.43,11.87,6.45,5.43
1641_MA-TS_35-36_Reactant,1641_MA-TS_35-36,1641_MA-TS_35-36_Product,-2854.63764948,-2854.61223238,-2854.61260276,-2854.031085,-2854.00462,-2854.004447,15.95,0.23,15.72,16.61,-0.11,16.72
1643_MA-TS_36-37_Reactant,1643_MA-TS_36-37,1643_MA-TS_36-37_Product,-2973.56960203,-2973.56886646,-2973.57544523,-2972.977648,-2972.976162,-2972.981954,0.46,4.13,-3.67,0.93,3.63,-2.7
1645_MA-TS_32-33_Reactant,1645_MA-TS_32-33,1645_MA-TS_32-33_Product,-2300.59666643,-2300.58012909,-2300.58202407,-2300.017691,-2299.999298,-2300.000716,10.38,1.19,9.19,11.54,0.89,10.65
1647_MA-TS_33-34_Reactant,1647_MA-TS_33-34,1647_MA-TS_33-34_Product,-4873.90811268,-4873.89657779,-4873.89867222,-4873.338215,-4873.324251,-4873.326493,7.24,1.31,5.92,8.76,1.41,7.36
1648_MA-TS_23-24_Reactant,1648_MA-TS_23-24,1648_MA-TS_23-24_Product,-4415.70306839,-4415.69007627,-4415.69229956,-4415.316163,-4415.300574,-4415.301772,8.15,1.4,6.76,9.78,0.75,9.03
1650_MA-TS_38-39_Reactant,1650_MA-TS_38-39,1650_MA-TS_38-39_Product,-3092.61793279,-3092.59834962,-3092.5987921,-3092.046413,-3092.027261,-3092.02894,12.29,0.28,12.01,12.02,1.05,10.96
1651_MA-TS_7-8_Reactant,1651_MA-TS_7-8,1651_MA-TS_7-8_Product,-1330.50264545,-1330.5009342,-1330.50937566,-1330.250137,-1330.247085,-1330.254542,1.07,5.3,-4.22,1.92,4.68,-2.76
1654_MA-TS_4-5_Reactant,1654_MA-TS_4-5,1654_MA-TS_4-5_Product,-1291.22304629,-1291.22269158,-1291.23407051,-1290.99813,-1290.995899,-1291.004864,0.22,7.14,-6.92,1.4,5.63,-4.23
1657_MA-TS_3-4_Reactant,1657_MA-TS_3-4,1657_MA-TS_3-4_Product,-1639.87186011,-1639.86595418,-1639.86858981,-1639.490486,-1639.483667,-1639.485677,3.71,1.65,2.05,4.28,1.26,3.02
1662_MA-TS_4-5_Reactant,1662_MA-TS_4-5,1662_MA-TS_4-5_Product,-1581.89313916,-1581.88900639,-1581.8892493,-1581.630647,-1581.625561,-1581.626318,2.59,0.15,2.44,3.19,0.48,2.72
1663_MA-TS_4-14_Reactant,1663_MA-TS_4-14,1663_MA-TS_4-14_Product,-1713.58274417,-1713.57511614,-1713.57814419,-1713.232837,-1713.222707,-1713.226053,4.79,1.9,2.89,6.36,2.1,4.26
1664_MA-TS_23-24_Reactant,1664_MA-TS_23-24,1664_MA-TS_23-24_Product,-1957.6751611,-1957.6739174,-1957.677943,-1957.023706,-1957.019061,-1957.024424,0.78,2.53,-1.75,2.91,3.37,-0.45
1665_MA-TS_4-5_Reactant,1665_MA-TS_4-5,1665_MA-TS_4-5_Product,-1840.61623903,-1840.61254565,-1840.61291301,-1840.303526,-1840.299048,-1840.299448,2.32,0.23,2.09,2.81,0.25,2.56
1666_MA-TS_4-5_Reactant,1666_MA-TS_4-5,1666_MA-TS_4-5_Product,-1942.21708053,-1942.21513441,-1942.22979634,-1941.953515,-1941.9498,-1941.96332,1.22,9.2,-7.98,2.33,8.48,-6.15
1668_MA-TS_4-5_Reactant,1668_MA-TS_4-5,1668_MA-TS_4-5_Product,-1942.22455231,-1942.21965192,-1942.21983391,-1941.964247,-1941.958665,-1941.959767,3.08,0.11,2.96,3.5,0.69,2.81
1672_MA-TS_4-5_Reactant,1672_MA-TS_4-5,1672_MA-TS_4-5_Product,-4056.06901633,-4056.0642469,-4056.06446238,-4055.810575,-4055.805051,-4055.805822,2.99,0.14,2.86,3.47,0.48,2.98
1676_MA-TS_4-5_Reactant,1676_MA-TS_4-5,1676_MA-TS_4-5_Product,-1919.17501028,-1919.17260054,-1919.18754495,-1918.804887,-1918.801951,-1918.816241,1.51,9.38,-7.87,1.84,8.97,-7.12
1678_MA-TS_15-16_Reactant,1678_MA-TS_15-16,1678_MA-TS_15-16_Product,-1766.9125586,-1766.90944037,-1766.91808723,-1766.562198,-1766.558227,-1766.565833,1.96,5.43,-3.47,2.49,4.77,-2.28
1679_MA-TS_4-5_Reactant,1679_MA-TS_4-5,1679_MA-TS_4-5_Product,-1713.58584875,-1713.57744289,-1713.58168846,-1713.233232,-1713.227113,-1713.230086,5.27,2.66,2.61,3.84,1.87,1.97
1685_MA-TS_3-4_Reactant,1685_MA-TS_3-4,1685_MA-TS_3-4_Product,-1845.47082063,-1845.47033643,-1845.48897499,-1845.06367,-1845.061436,-1845.078793,0.3,11.7,-11.39,1.4,10.89,-9.49
1689_MA-TS_9-10_Reactant,1689_MA-TS_9-10,1689_MA-TS_9-10_Product,-1561.31179962,-1561.30717913,-1561.30727184,-1560.989612,-1560.982444,-1560.984232,2.9,0.06,2.84,4.5,1.12,3.38
1692_MA-TS_9-10_Reactant,1692_MA-TS_9-10,1692_MA-TS_9-10_Product,-1600.59587675,-1600.59441027,-1600.59767646,-1600.2385,-1600.237624,-1600.240601,0.92,2.05,-1.13,0.55,1.87,-1.32
1693_MA-TS_16-17_Reactant,1693_MA-TS_16-17,1693_MA-TS_16-17_Product,-1757.68944963,-1757.68483077,-1757.68494684,-1757.233307,-1757.226847,-1757.228015,2.9,0.07,2.83,4.05,0.73,3.32
1697_MA-TS_7-8_Reactant,1697_MA-TS_7-8,1697_MA-TS_7-8_Product,-1597.16093792,-1597.1521425,-1597.16588457,-1596.856571,-1596.849302,-1596.858422,5.52,8.62,-3.1,4.56,5.72,-1.16
1699_MA-TS_9-10_Reactant,1699_MA-TS_9-10,1699_MA-TS_9-10_Product,-1597.1488723,-1597.14751897,-1597.15343937,-1596.847704,-1596.8451,-1596.850567,0.85,3.72,-2.87,1.63,3.43,-1.8
1701_MA-TS_4-5_Reactant,1701_MA-TS_4-5,1701_MA-TS_4-5_Product,-1581.89498482,-1581.89017221,-1581.89027156,-1581.63268,-1581.626251,-1581.627388,3.02,0.06,2.96,4.03,0.71,3.32
1702_MA-TS_19-20_Reactant,1702_MA-TS_19-20,1702_MA-TS_19-20_Product,-1880.36809271,-1880.36559597,-1880.36947299,-1879.739428,-1879.734853,-1879.737167,1.57,2.43,-0.87,2.87,1.45,1.42
1706_MA-TS_6-7_Reactant,1706_MA-TS_6-7,1706_MA-TS_6-7_Product,-3877.56278774,-3877.55873683,-3877.56266826,-3876.937834,-3876.931062,-3876.934632,2.54,2.47,0.07,4.25,2.24,2.01
1715_MA-TS_2-3_Reactant,1715_MA-TS_2-3,1715_MA-TS_2-3_Product,-1629.63385539,-1629.61358907,-1629.61517769,-1629.151953,-1629.129759,-1629.129542,12.72,1.0,11.72,13.93,-0.14,14.06
1719_MA-TS_15-17_Reactant,1719_MA-TS_15-17,1719_MA-TS_15-17_Product,-1668.92321218,-1668.90983096,-1668.92651844,-1668.41007,-1668.393999,-1668.411922,8.4,10.47,-2.07,10.08,11.25,-1.16
1721_MA-TS_2-3_Reactant,1721_MA-TS_2-3,1721_MA-TS_2-3_Product,-1668.91323562,-1668.88916101,-1668.8896777,-1668.407611,-1668.379024,-1668.380635,15.11,0.32,14.78,17.94,1.01,16.93
1729_MA-TS_15-16_Reactant,1729_MA-TS_15-16,1729_MA-TS_15-16_Product,-1511.80103566,-1511.79231657,-1511.79375448,-1511.401751,-1511.389879,-1511.391064,5.47,0.9,4.57,7.45,0.74,6.71
1733_MA-TS_17-18_Reactant,1733_MA-TS_17-18,1733_MA-TS_17-18_Product,-1590.35291142,-1590.34348017,-1590.3446198,-1589.897212,-1589.885579,-1589.887135,5.92,0.72,5.2,7.3,0.98,6.32
1735_MA-TS_18-19_Reactant,1735_MA-TS_18-19,1735_MA-TS_18-19_Product,-1629.62329765,-1629.6190401,-1629.63161893,-1629.145456,-1629.135878,-1629.147028,2.67,7.89,-5.22,6.01,7.0,-0.99
1739_MA-TS_14-15_Reactant,1739_MA-TS_14-15,1739_MA-TS_14-15_Product,-1508.39835178,-1508.39518794,-1508.40160117,-1508.045119,-1508.039515,-1508.045445,1.99,4.02,-2.04,3.52,3.72,-0.2
1741_MA-TS_16-17_Reactant,1741_MA-TS_16-17,1741_MA-TS_16-17_Product,-1586.95511528,-1586.95288936,-1586.9690498,-1586.545056,-1586.540748,-1586.55614,1.4,10.14,-8.74,2.7,9.66,-6.96
1743_MA-TS_17-18_Reactant,1743_MA-TS_17-18,1743_MA-TS_17-18_Product,-1626.23089372,-1626.22868712,-1626.23212023,-1625.794857,-1625.791479,-1625.795459,1.38,2.15,-0.77,2.12,2.5,-0.38
1747_MA-TS_17-18_Reactant,1747_MA-TS_17-18,1747_MA-TS_17-18_Product,-1606.38902887,-1606.37908025,-1606.38172304,-1605.94567,-1605.929121,-1605.931568,6.24,1.66,4.58,10.38,1.54,8.85
1753_MA-TS_15-17_Reactant,1753_MA-TS_15-17,1753_MA-TS_15-17_Product,-1684.95703582,-1684.94111553,-1684.94933812,-1684.457695,-1684.439307,-1684.447096,9.99,5.16,4.83,11.54,4.89,6.65
1769_MA-TS_20-21_Reactant,1769_MA-TS_20-21,1769_MA-TS_20-21_Product,-1626.24363499,-1626.23393683,-1626.23438809,-1625.800805,-1625.788463,-1625.788739,6.09,0.28,5.8,7.74,0.17,7.57
1775_MA-TS_29-30_Reactant,1775_MA-TS_29-30,1775_MA-TS_29-30_Product,-2120.71984519,-2120.71043071,-2120.71049905,-2120.174617,-2120.16273,-2120.163965,5.91,0.04,5.86,7.46,0.77,6.68
1777_MA-TS_21-22_Reactant,1777_MA-TS_21-22,1777_MA-TS_21-22_Product,-1701.32014067,-1701.31110697,-1701.33107764,-1700.879374,-1700.867816,-1700.882807,5.67,12.53,-6.86,7.25,9.41,-2.15
1781_MA-TS_2-3_Reactant,1781_MA-TS_2-3,1781_MA-TS_2-3_Product,-4453.7113973,-4453.68849409,-4453.7280384,-4453.328358,-4453.305519,-4453.335246,14.37,24.81,-10.44,14.33,18.65,-4.32
1782_MA-TS_12-13_Reactant,1782_MA-TS_12-13,1782_MA-TS_12-13_Product,-2103.89529884,-2103.86550043,-2103.86550752,-2103.452824,-2103.421784,-2103.423012,18.7,0.0,18.69,19.48,0.77,18.71
1783_MA-TS_4-5_Reactant,1783_MA-TS_4-5,1783_MA-TS_4-5_Product,-4588.79741768,-4588.77322475,-4588.77817588,-4588.314344,-4588.29509,-4588.299295,15.18,3.11,12.07,12.08,2.64,9.44
1786_MA-TS_30-31_Reactant,1786_MA-TS_30-31,1786_MA-TS_30-31_Product,-4721.42980842,-4721.42014685,-4721.4216241,-4720.900251,-4720.887218,-4720.891061,6.06,0.93,5.14,8.18,2.41,5.77
1788_MA-TS_32-33_Reactant,1788_MA-TS_32-33,1788_MA-TS_32-33_Product,-3166.17224863,-3166.1717817,-3166.18369057,-3165.657568,-3165.656501,-3165.664794,0.29,7.47,-7.18,0.67,5.2,-4.53
1792_MA-TS_5-6_Reactant,1792_MA-TS_5-6,1792_MA-TS_5-6_Product,-3509.2832087,-3509.24124269,-3509.24377034,-3508.64359,-3508.600801,-3508.602662,26.33,1.59,24.75,26.85,1.17,25.68
1794_MA-TS_5-6_Reactant,1794_MA-TS_5-6,1794_MA-TS_5-6_Product,-3221.90363257,-3221.88243794,-3221.88753956,-3221.167663,-3221.142692,-3221.145922,13.3,3.2,10.1,15.67,2.03,13.64
1796_MA-TS_5-6_Reactant,1796_MA-TS_5-6,1796_MA-TS_5-6_Product,-3276.35324515,-3276.3307301,-3276.3384205,-3275.681494,-3275.659114,-3275.666357,14.13,4.83,9.3,14.04,4.55,9.5
1797_MA-TS_5-6_Reactant,1797_MA-TS_5-6,1797_MA-TS_5-6_Product,-3006.89485447,-3006.8433144,-3006.87987674,-3006.263764,-3006.21367,-3006.246483,32.34,22.94,9.4,31.43,20.59,10.84
1798_MA-TS_5-6_Reactant,1798_MA-TS_5-6,1798_MA-TS_5-6_Product,-3006.89529791,-3006.8789722,-3006.88134112,-3006.262315,-3006.243998,-3006.246202,10.24,1.49,8.76,11.49,1.38,10.11
1802_MA-TS_5-6_Reactant,1802_MA-TS_5-6,1802_MA-TS_5-6_Product,-3047.71832781,-3047.70338646,-3047.70394423,-3047.097165,-3047.079543,-3047.080018,9.38,0.35,9.03,11.06,0.3,10.76
1807_MA-TS_5-6_Reactant,1807_MA-TS_5-6,1807_MA-TS_5-6_Product,-3219.44983786,-3219.42793,-3219.43389014,-3218.766159,-3218.746875,-3218.752983,13.75,3.74,10.01,12.1,3.83,8.27
1810_MA-TS_5-6_Reactant,1810_MA-TS_5-6,1810_MA-TS_5-6_Product,-2991.3144113,-2991.28870605,-2991.28951471,-2990.720489,-2990.695646,-2990.696884,16.13,0.51,15.62,15.59,0.78,14.81
1813_MA-TS_5-6_Reactant,1813_MA-TS_5-6,1813_MA-TS_5-6_Product,-3155.81646305,-3155.80542801,-3155.81086506,-3155.150798,-3155.135381,-3155.140507,6.92,3.41,3.51,9.67,3.22,6.46
1828_MA-TS_5-6_Reactant,1828_MA-TS_5-6,1828_MA-TS_5-6_Product,-3509.77510299,-3509.77170737,-3509.78027712,-3508.972421,-3508.964536,-3508.971712,2.13,5.38,-3.25,4.95,4.5,0.44
1829_MA-TS_5-6_Reactant,1829_MA-TS_5-6,1829_MA-TS_5-6_Product,-3509.81139237,-3509.79174708,-3509.79465443,-3508.99983,-3508.975012,-3508.978849,12.33,1.82,10.5,15.57,2.41,13.17
1831_MA-TS_5-6_Reactant,1831_MA-TS_5-6,1831_MA-TS_5-6_Product,-3127.31355662,-3127.29103609,-3127.29374769,-3126.629466,-3126.60324,-3126.606334,14.13,1.7,12.43,16.46,1.94,14.52
1833_MA-TS_5-6_Reactant,1833_MA-TS_5-6,1833_MA-TS_5-6_Product,-3046.16444758,-3046.14296366,-3046.14386186,-3045.511562,-3045.485613,-3045.486794,13.48,0.56,12.92,16.28,0.74,15.54
1834_MA-TS_5-6_Reactant,1834_MA-TS_5-6,1834_MA-TS_5-6_Product,-3089.27700896,-3089.26073864,-3089.26152694,-3088.592596,-3088.57448,-3088.575797,10.21,0.49,9.72,11.37,0.83,10.54
1836_MA-TS_5-6_Reactant,1836_MA-TS_5-6,1836_MA-TS_5-6_Product,-3010.71153537,-3010.69916143,-3010.70020436,-3010.085193,-3010.069155,-3010.070729,7.76,0.65,7.11,10.06,0.99,9.08
1837_MA-TS_5-6_Reactant,1837_MA-TS_5-6,1837_MA-TS_5-6_Product,-3010.70879046,-3010.68932332,-3010.6953837,-3010.081439,-3010.060087,-3010.064913,12.22,3.8,8.41,13.4,3.03,10.37
1838_MA-TS_5-6_Reactant,1838_MA-TS_5-6,1838_MA-TS_5-6_Product,-3203.45258509,-3203.42299265,-3203.42396996,-3202.750735,-3202.716656,-3202.71918,18.57,0.61,17.96,21.38,1.58,19.8
1843_MA-TS_5-6_Reactant,1843_MA-TS_5-6,1843_MA-TS_5-6_Product,-3509.43789115,-3509.40163263,-3509.41080622,-3508.794064,-3508.75719,-3508.762319,22.75,5.76,17.0,23.14,3.22,19.92
1847_MA-TS_5-6_Reactant,1847_MA-TS_5-6,1847_MA-TS_5-6_Product,-3127.33232802,-3127.32947653,-3127.34847686,-3126.640819,-3126.636223,-3126.652586,1.79,11.92,-10.13,2.88,10.27,-7.38
1849_MA-TS_5-6_Reactant,1849_MA-TS_5-6,1849_MA-TS_5-6_Product,-3088.02842341,-3088.0037362,-3088.01108729,-3087.362193,-3087.34093,-3087.345007,15.49,4.61,10.88,13.34,2.56,10.78
1851_MA-TS_5-6_Reactant,1851_MA-TS_5-6,1851_MA-TS_5-6_Product,-3149.08774651,-3149.07034936,-3149.07960237,-3148.445711,-3148.424677,-3148.434428,10.92,5.81,5.11,13.2,6.12,7.08
1853_MA-TS_5-6_Reactant,1853_MA-TS_5-6,1853_MA-TS_5-6_Product,-3241.74880166,-3241.72778322,-3241.73297008,-3241.024182,-3240.999534,-3241.005051,13.19,3.25,9.93,15.47,3.46,12.0
1858_MA-TS_5-6_Reactant,1858_MA-TS_5-6,1858_MA-TS_5-6_Product,-2590.50497386,-2590.49094884,-2590.50318259,-2589.836027,-2589.821816,-2589.831772,8.8,7.68,1.12,8.92,6.25,2.67
1859_MA-TS_5-6_Reactant,1859_MA-TS_5-6,1859_MA-TS_5-6_Product,-3140.95455733,-3140.90326775,-3140.91340548,-3140.325651,-3140.275214,-3140.282695,32.18,6.36,25.82,31.65,4.69,26.96
1860_MA-TS_5-6_Reactant,1860_MA-TS_5-6,1860_MA-TS_5-6_Product,-3140.92919152,-3140.91203964,-3140.93315827,-3140.303768,-3140.285116,-3140.302755,10.76,13.25,-2.49,11.7,11.07,0.64
1862_MA-TS_5-6_Reactant,1862_MA-TS_5-6,1862_MA-TS_5-6_Product,-3202.46992413,-3202.46992065,-3202.47978342,-3201.775066,-3201.774069,-3201.784682,0.0,6.19,-6.19,0.63,6.66,-6.03
1863_MA-TS_5-6_Reactant,1863_MA-TS_5-6,1863_MA-TS_5-6_Product,-3183.61486031,-3183.60131208,-3183.61398032,-3182.914629,-3182.897796,-3182.904125,8.5,7.95,0.55,10.56,3.97,6.59
1864_MA-TS_5-6_Reactant,1864_MA-TS_5-6,1864_MA-TS_5-6_Product,-3183.64005513,-3183.60976525,-3183.61225468,-3182.927286,-3182.897616,-3182.898027,19.01,1.56,17.45,18.62,0.26,18.36
1867_MA-TS_5-6_Reactant,1867_MA-TS_5-6,1867_MA-TS_5-6_Product,-3030.16169069,-3030.09719462,-3030.10998777,-3029.491743,-3029.436133,-3029.446764,40.47,8.03,32.44,34.9,6.67,28.22
1868_MA-TS_5-6_Reactant,1868_MA-TS_5-6,1868_MA-TS_5-6_Product,-3030.13386563,-3030.13225604,-3030.14776507,-3029.469238,-3029.465496,-3029.477549,1.01,9.73,-8.72,2.35,7.56,-5.22
1871_MA-TS_5-6_Reactant,1871_MA-TS_5-6,1871_MA-TS_5-6_Product,-3010.70428533,-3010.68114869,-3010.68152639,-3010.079314,-3010.056493,-3010.057281,14.52,0.24,14.28,14.32,0.49,13.83
1878_MA-TS_5-6_Reactant,1878_MA-TS_5-6,1878_MA-TS_5-6_Product,-3608.53097763,-3608.51871465,-3608.53852027,-3607.905666,-3607.893275,-3607.910743,7.7,12.43,-4.73,7.78,10.96,-3.19
1880_MA-TS_5-6_Reactant,1880_MA-TS_5-6,1880_MA-TS_5-6_Product,-3248.24742407,-3248.23755251,-3248.25442952,-3247.606881,-3247.594859,-3247.608423,6.19,10.59,-4.4,7.54,8.51,-0.97
1882_MA-TS_5-6_Reactant,1882_MA-TS_5-6,1882_MA-TS_5-6_Product,-3065.98105136,-3065.9390109,-3065.97352911,-3065.340096,-3065.299312,-3065.333198,26.38,21.66,4.72,25.59,21.26,4.33
1884_MA-TS_5-6_Reactant,1884_MA-TS_5-6,1884_MA-TS_5-6_Product,-3089.23205543,-3089.21557307,-3089.22573829,-3088.559436,-3088.536532,-3088.547752,10.34,6.38,3.96,14.37,7.04,7.33
1890_MA-TS_5-6_Reactant,1890_MA-TS_5-6,1890_MA-TS_5-6_Product,-3203.62958173,-3203.59875924,-3203.61579773,-3202.920276,-3202.891339,-3202.903861,19.34,10.69,8.65,18.16,7.86,10.3
1892_MA-TS_5-6_Reactant,1892_MA-TS_5-6,1892_MA-TS_5-6_Product,-3164.40082774,-3164.3810887,-3164.38320253,-3163.714166,-3163.692678,-3163.694776,12.39,1.33,11.06,13.48,1.32,12.17
1896_MA-TS_5-6_Reactant,1896_MA-TS_5-6,1896_MA-TS_5-6_Product,-3509.43055589,-3509.38906122,-3509.39300728,-3508.784103,-3508.74773,-3508.751897,26.04,2.48,23.56,22.82,2.61,20.21
1897_MA-TS_5-6_Reactant,1897_MA-TS_5-6,1897_MA-TS_5-6_Product,-2890.25429469,-2890.23526039,-2890.25526942,-2889.687102,-2889.667364,-2889.681797,11.94,12.56,-0.61,12.39,9.06,3.33
1901_MA-TS_5-6_Reactant,1901_MA-TS_5-6,1901_MA-TS_5-6_Product,-3901.20695015,-3901.18174552,-3901.20177289,-3900.555573,-3900.526216,-3900.546236,15.82,12.57,3.25,18.42,12.56,5.86
1907_MA-TS_5-6_Reactant,1907_MA-TS_5-6,1907_MA-TS_5-6_Product,-3202.43049458,-3202.42042741,-3202.43455244,-3201.74201,-3201.728349,-3201.741117,6.32,8.86,-2.55,8.57,8.01,0.56
1908_MA-TS_5-6_Reactant,1908_MA-TS_5-6,1908_MA-TS_5-6_Product,-3202.47462575,-3202.43871489,-3202.4524341,-3201.782202,-3201.74917,-3201.757599,22.53,8.61,13.93,20.73,5.29,15.44
1914_MA-TS_5-6_Reactant,1914_MA-TS_5-6,1914_MA-TS_5-6_Product,-3142.09390914,-3142.07614262,-3142.08414718,-3141.454753,-3141.437221,-3141.441726,11.15,5.02,6.13,11.0,2.83,8.17
1916_MA-TS_5-6_Reactant,1916_MA-TS_5-6,1916_MA-TS_5-6_Product,-3066.0061287,-3065.99334904,-3066.00587019,-3065.363168,-3065.34891,-3065.361477,8.02,7.86,0.16,8.95,7.89,1.06
1918_MA-TS_5-6_Reactant,1918_MA-TS_5-6,1918_MA-TS_5-6_Product,-3509.44479235,-3509.41156721,-3509.41416797,-3508.796534,-3508.761576,-3508.7652,20.85,1.63,19.22,21.94,2.27,19.66
1921_MA-TS_5-6_Reactant,1921_MA-TS_5-6,1921_MA-TS_5-6_Product,-3357.38056674,-3357.3595882,-3357.36443407,-3356.612042,-3356.591929,-3356.594759,13.16,3.04,10.12,12.62,1.78,10.85
1922_MA-TS_5-6_Reactant,1922_MA-TS_5-6,1922_MA-TS_5-6_Product,-3357.39555601,-3357.3575825,-3357.36765374,-3356.6179,-3356.580496,-3356.589806,23.83,6.32,17.51,23.47,5.84,17.63
1924_MA-TS_5-6_Reactant,1924_MA-TS_5-6,1924_MA-TS_5-6_Product,-3026.72522955,-3026.70586072,-3026.71172089,-3026.112748,-3026.0915,-3026.096239,12.15,3.68,8.48,13.33,2.97,10.36
1929_MA-TS_5-6_Reactant,1929_MA-TS_5-6,1929_MA-TS_5-6_Product,-3164.38805304,-3164.37525194,-3164.37670556,-3163.708307,-3163.692107,-3163.693581,8.03,0.91,7.12,10.17,0.92,9.24
1931_MA-TS_5-6_Reactant,1931_MA-TS_5-6,1931_MA-TS_5-6_Product,-3395.19452471,-3395.16712441,-3395.17279862,-3394.428953,-3394.402357,-3394.407575,17.19,3.56,13.63,16.69,3.27,13.41
