Reactant,Datapoint,Product,deTSR_refDZ,deTSP_refDZ,dePR_refDZ,dGTSR_refDZ,dGTSP_refDZ,dGPR_refDZ,deTSR_PM7,deTSP_PM7,dePR_PM7,dGTSR_PM7,dGTSP_PM7,dGPR_PM7
463_MA-TS_17-18_Reactant,463_MA-TS_17-18,463_MA-TS_17-18_Product,19.98,2.64,17.33,18.03,3.37,14.66,4.9,10.12,-5.22,8.47,9.61,-1.14
465_MA-TS_17-18_Reactant,465_MA-TS_17-18,465_MA-TS_17-18_Product,8.25,5.26,2.99,10.07,5.36,4.71,3.46,11.81,-8.35,2.58,10.62,-8.04
470_MA-TS_7-8_Reactant,470_MA-TS_7-8,470_MA-TS_7-8_Product,8.28,4.58,3.7,9.81,3.13,6.67,-5.57,4.47,-10.04,-1.78,3.64,-5.42
474_MA-TS_5-6_Reactant,474_MA-TS_5-6,474_MA-TS_5-6_Product,12.12,1.11,11.01,14.97,1.04,13.94,0.14,3.25,-3.1,0.99,2.82,-1.83
479_MA-TS_5-6_Reactant,479_MA-TS_5-6,479_MA-TS_5-6_Product,10.56,6.07,4.49,11.62,4.71,6.91,3.18,17.62,-14.44,3.83,15.29,-11.46
480_MA-TS_5-6_Reactant,480_MA-TS_5-6,480_MA-TS_5-6_Product,3.09,3.3,-0.21,4.61,2.26,2.36,-2.68,9.71,-12.39,-3.36,7.11,-10.48
485_MA-TS_30-31_Reactant,485_MA-TS_30-31,485_MA-TS_30-31_Product,16.46,3.71,12.76,14.98,2.32,12.67,5.27,8.69,-3.42,6.9,8.63,-1.73
486_MA-TS_5-6_Reactant,486_MA-TS_5-6,486_MA-TS_5-6_Product,8.44,8.26,0.19,8.41,6.61,1.8,-5.25,119.27,-124.52,-0.09,7.69,-7.77
487_MA-TS_5-6_Reactant,487_MA-TS_5-6,487_MA-TS_5-6_Product,22.51,6.0,16.51,20.85,4.83,16.02,131.32,193.99,-62.66,15.12,18.1,-2.98
488_MA-TS_5-6_Reactant,488_MA-TS_5-6,488_MA-TS_5-6_Product,0.0,16.38,-16.38,1.25,14.79,-13.54,-0.34,23.0,-23.34,-0.36,20.39,-20.76
490_MA-TS_5-6_Reactant,490_MA-TS_5-6,490_MA-TS_5-6_Product,21.59,7.28,14.31,19.98,5.04,14.94,12.42,15.04,-2.63,10.69,10.25,0.44
491_MA-TS_5-6_Reactant,491_MA-TS_5-6,491_MA-TS_5-6_Product,12.27,1.59,10.68,14.22,1.03,13.19,1.34,4.74,-3.4,3.48,2.45,1.02
494_MA-TS_5-6_Reactant,494_MA-TS_5-6,494_MA-TS_5-6_Product,6.92,2.4,4.52,9.38,2.29,7.09,-45.82,68.37,-114.19,-0.85,6.73,-7.58
496_MA-TS_5-6_Reactant,496_MA-TS_5-6,496_MA-TS_5-6_Product,9.46,0.16,9.3,11.0,-0.26,11.26,-55.13,-554.91,499.78,-3.02,1.42,-4.44
500_MA-TS_5-6_Reactant,500_MA-TS_5-6,500_MA-TS_5-6_Product,4.63,3.49,1.14,5.38,3.27,2.1,-2.07,8.09,-10.16,1.33,11.12,-9.79
501_MA-TS_5-6_Reactant,501_MA-TS_5-6,501_MA-TS_5-6_Product,0.21,8.83,-8.63,1.15,8.97,-7.82,-1.52,17.07,-18.59,-0.72,19.18,-19.9
502_MA-TS_5-6_Reactant,502_MA-TS_5-6,502_MA-TS_5-6_Product,18.03,2.21,15.82,19.9,1.99,17.9,7.25,7.84,-0.59,10.33,5.87,4.47
503_MA-TS_5-6_Reactant,503_MA-TS_5-6,503_MA-TS_5-6_Product,0.69,4.89,-4.2,2.69,4.05,-1.36,-2.28,11.31,-13.59,-1.45,9.77,-11.22
505_MA-TS_5-6_Reactant,505_MA-TS_5-6,505_MA-TS_5-6_Product,14.88,5.87,9.01,14.75,5.1,9.65,4.65,0.28,4.37,22.19,15.54,6.65
513_MA-TS_5-6_Reactant,513_MA-TS_5-6,513_MA-TS_5-6_Product,2.96,20.21,-17.25,3.73,17.35,-13.63,4.18,28.45,-24.27,6.43,25.45,-19.02
527_MA-TS_37-38_Reactant,527_MA-TS_37-38,527_MA-TS_37-38_Product,7.58,6.02,1.56,10.18,3.99,6.19,-2.56,4.02,-6.58,-1.4,7.42,-8.81
530_MA-TS_36-37_Reactant,530_MA-TS_36-37,530_MA-TS_36-37_Product,9.55,0.23,9.32,11.94,-0.46,12.39,-0.45,3.54,-3.98,4.73,6.19,-1.46
531_MA-TS_12-13_Reactant,531_MA-TS_12-13,531_MA-TS_12-13_Product,0.25,11.81,-11.56,2.4,10.48,-8.08,-1.54,17.65,-19.18,-0.82,20.02,-20.84
532_MA-TS_29-30_Reactant,532_MA-TS_29-30,532_MA-TS_29-30_Product,11.33,0.26,11.07,13.6,1.19,12.4,6.5,25.38,-18.88,2.36,2.81,-0.45
538_MA-TS_29-30_Reactant,538_MA-TS_29-30,538_MA-TS_29-30_Product,22.02,7.42,14.6,23.5,5.6,17.9,-527.75,-522.53,-5.22,13.03,15.75,-2.71
539_MA-TS_33-34_Reactant,539_MA-TS_33-34,539_MA-TS_33-34_Product,6.46,7.27,-0.81,8.36,5.93,2.43,-4.05,1.67,-5.71,-0.11,-2.02,1.91
540_MA-TS_33-34_Reactant,540_MA-TS_33-34,540_MA-TS_33-34_Product,6.12,2.26,3.85,7.34,1.59,5.74,-4.73,2.47,-7.2,-0.62,6.24,-6.86
541_MA-TS_27-28_Reactant,541_MA-TS_27-28,541_MA-TS_27-28_Product,4.11,3.58,0.53,7.8,3.79,4.01,-5.56,6.3,-11.86,-5.98,5.37,-11.35
542_MA-TS_29-30_Reactant,542_MA-TS_29-30,542_MA-TS_29-30_Product,10.76,10.44,0.32,11.78,7.09,4.69,-0.02,12.43,-12.45,1.19,8.07,-6.87
545_MA-TS_39-40_Reactant,545_MA-TS_39-40,545_MA-TS_39-40_Product,1.39,7.66,-6.26,4.0,7.07,-3.07,-235.33,-171.77,-63.57,1.96,15.58,-13.62
546_MA-TS_39-40_Reactant,546_MA-TS_39-40,546_MA-TS_39-40_Product,16.39,12.6,3.79,14.46,13.83,0.64,-359.0,3.97,-362.97,26.6,3.1,23.5
547_MA-TS_33-34_Reactant,547_MA-TS_33-34,547_MA-TS_33-34_Product,7.68,12.7,-5.02,8.15,9.27,-1.12,-78.08,-266.87,188.79,-0.52,10.93,-11.45
548_MA-TS_41-42_Reactant,548_MA-TS_41-42,548_MA-TS_41-42_Product,12.12,9.74,2.38,10.34,6.71,3.63,51.56,-468.73,520.29,6.55,14.54,-7.99
551_MA-TS_3-4_Reactant,551_MA-TS_3-4,551_MA-TS_3-4_Product,18.55,19.79,-1.24,18.21,17.35,0.86,91.76,187.6,-95.83,10.22,15.71,-5.49
552_MA-TS_42-43_Reactant,552_MA-TS_42-43,552_MA-TS_42-43_Product,5.77,6.95,-1.17,7.07,7.01,0.06,1.61,13.99,-12.38,2.9,10.92,-8.02
557_MA-TS_39-40_Reactant,557_MA-TS_39-40,557_MA-TS_39-40_Product,14.05,6.07,7.98,16.1,4.0,12.1,-6.6,124.88,-131.49,2.16,9.56,-7.4
558_MA-TS_40-41_Reactant,558_MA-TS_40-41,558_MA-TS_40-41_Product,3.15,4.18,-1.03,4.72,4.13,0.59,-30.37,-512.58,482.21,-0.19,11.52,-11.71
559_MA-TS_40-41_Reactant,559_MA-TS_40-41,559_MA-TS_40-41_Product,4.7,6.07,-1.37,7.12,5.56,1.57,-28.86,99.12,-127.98,-0.38,9.23,-9.61
564_MA-TS_40-41_Reactant,564_MA-TS_40-41,564_MA-TS_40-41_Product,12.4,4.41,8.0,11.62,4.41,7.2,62.55,89.17,-26.61,7.65,8.22,-0.57
567_MA-TS_35-36_Reactant,567_MA-TS_35-36,567_MA-TS_35-36_Product,8.86,11.81,-2.95,11.58,10.16,1.42,2.36,13.41,-11.05,3.05,11.02,-7.97
568_MA-TS_2-3_Reactant,568_MA-TS_2-3,568_MA-TS_2-3_Product,9.22,7.39,1.83,9.82,6.34,3.48,64.51,-424.68,489.19,8.76,16.59,-7.83
571_MA-TS_31-32_Reactant,571_MA-TS_31-32,571_MA-TS_31-32_Product,6.49,3.08,3.41,10.05,2.4,7.65,0.42,6.15,-5.73,2.24,5.98,-3.74
573_MA-TS_32-33_Reactant,573_MA-TS_32-33,573_MA-TS_32-33_Product,12.79,4.28,8.51,14.16,1.71,12.45,2.53,6.57,-4.04,5.02,7.03,-2.0
574_MA-TS_31-32_Reactant,574_MA-TS_31-32,574_MA-TS_31-32_Product,14.95,0.24,14.71,16.2,0.46,15.74,1.29,0.97,0.32,3.45,-0.46,3.91
578_MA-TS_36-37_Reactant,578_MA-TS_36-37,578_MA-TS_36-37_Product,13.52,12.73,0.78,14.53,11.03,3.5,5.26,16.95,-11.68,10.78,15.4,-4.62
587_MA-TS_34-35_Reactant,587_MA-TS_34-35,587_MA-TS_34-35_Product,13.62,1.73,11.88,16.24,1.76,14.49,3.6,3.46,0.14,4.08,2.27,1.8
588_MA-TS_35-36_Reactant,588_MA-TS_35-36,588_MA-TS_35-36_Product,12.95,3.03,9.91,14.1,2.73,11.37,0.57,2.32,-1.76,3.08,0.58,2.49
589_MA-TS_36-37_Reactant,589_MA-TS_36-37,589_MA-TS_36-37_Product,5.82,6.65,-0.83,7.67,6.41,1.26,-2.8,7.22,-10.02,-0.52,8.87,-9.39
591_MA-TS_36-37_Reactant,591_MA-TS_36-37,591_MA-TS_36-37_Product,17.64,0.07,17.57,18.41,-0.27,18.69,1.18,0.51,0.67,5.4,1.83,3.57
592_MA-TS_39-40_Reactant,592_MA-TS_39-40,592_MA-TS_39-40_Product,9.61,0.87,8.74,11.06,-0.19,11.25,1.27,1.13,0.14,-0.3,1.17,-1.48
593_MA-TS_30-31_Reactant,593_MA-TS_30-31,593_MA-TS_30-31_Product,10.12,1.39,8.73,13.39,0.62,12.76,1.74,5.26,-3.52,7.28,6.2,1.08
594_MA-TS_29-30_Reactant,594_MA-TS_29-30,594_MA-TS_29-30_Product,8.62,7.08,1.54,7.45,4.31,3.14,-0.82,10.74,-11.57,2.06,12.0,-9.94
599_MA-TS_33-34_Reactant,599_MA-TS_33-34,599_MA-TS_33-34_Product,10.51,1.8,8.7,10.86,1.97,8.89,1.33,1.91,-0.58,2.66,3.83,-1.17
600_MA-TS_23-24_Reactant,600_MA-TS_23-24,600_MA-TS_23-24_Product,8.39,7.09,1.3,7.92,3.59,4.34,5.19,11.74,-6.55,7.09,12.18,-5.09
601_MA-TS_23-24_Reactant,601_MA-TS_23-24,601_MA-TS_23-24_Product,22.88,0.96,21.92,22.89,1.4,21.49,15.68,5.44,10.24,15.63,5.63,10.0
608_MA-TS_42-43_Reactant,608_MA-TS_42-43,608_MA-TS_42-43_Product,0.25,8.98,-8.73,1.74,8.12,-6.38,-1.85,16.64,-18.49,-0.73,15.37,-16.1
609_MA-TS_39-40_Reactant,609_MA-TS_39-40,609_MA-TS_39-40_Product,1.77,5.61,-3.84,4.83,5.8,-0.97,-2.33,9.26,-11.59,0.7,7.13,-6.43
610_MA-TS_16-17_Reactant,610_MA-TS_16-17,610_MA-TS_16-17_Product,5.8,1.92,3.88,10.49,2.8,7.69,-3.78,6.69,-10.47,-3.99,3.74,-7.72
618_MA-TS_33-34_Reactant,618_MA-TS_33-34,618_MA-TS_33-34_Product,7.86,12.24,-4.38,8.81,10.37,-1.57,-0.84,25.17,-26.02,1.21,22.91,-21.71
620_MA-TS_26-27_Reactant,620_MA-TS_26-27,620_MA-TS_26-27_Product,2.97,12.4,-9.44,3.17,10.19,-7.03,16.54,-420.07,436.61,1.84,19.63,-17.79
622_MA-TS_28-29_Reactant,622_MA-TS_28-29,622_MA-TS_28-29_Product,6.48,21.42,-14.94,6.93,20.54,-13.61,4.69,35.71,-31.02,5.55,35.81,-30.26
626_MA-TS_34-35_Reactant,626_MA-TS_34-35,626_MA-TS_34-35_Product,8.25,21.52,-13.27,11.36,20.88,-9.52,2.28,28.6,-26.32,2.76,19.9,-17.14
628_MA-TS_31-32_Reactant,628_MA-TS_31-32,628_MA-TS_31-32_Product,6.49,14.98,-8.49,8.55,13.58,-5.03,0.34,20.96,-20.62,3.18,19.13,-15.95
638_MA-TS_37-38_Reactant,638_MA-TS_37-38,638_MA-TS_37-38_Product,9.72,26.8,-17.08,9.71,19.17,-9.46,3.65,36.45,-32.8,3.93,34.37,-30.44
642_MA-TS_35-36_Reactant,642_MA-TS_35-36,642_MA-TS_35-36_Product,5.97,18.42,-12.45,5.4,15.49,-10.09,-43.54,284.53,-328.07,-6.05,29.45,-35.5
647_MA-TS_33-34_Reactant,647_MA-TS_33-34,647_MA-TS_33-34_Product,6.36,15.56,-9.2,8.23,14.26,-6.03,1.33,24.56,-23.23,2.41,23.73,-21.32
650_MA-TS_29-30_Reactant,650_MA-TS_29-30,650_MA-TS_29-30_Product,12.33,0.91,11.42,16.24,0.83,15.4,4.34,1.5,2.83,3.33,-0.08,3.42
657_MA-TS_33-34_Reactant,657_MA-TS_33-34,657_MA-TS_33-34_Product,13.27,3.16,10.11,15.67,2.27,13.4,0.33,4.99,-4.66,2.54,7.19,-4.65
659_MA-TS_37-38_Reactant,659_MA-TS_37-38,659_MA-TS_37-38_Product,17.6,5.87,11.73,17.1,3.45,13.65,4.78,2.52,2.26,9.54,4.67,4.88
661_MA-TS_38-39_Reactant,661_MA-TS_38-39,661_MA-TS_38-39_Product,15.21,8.83,6.38,19.26,6.94,12.32,10.29,12.95,-2.66,11.86,11.06,0.8
663_MA-TS_21-22_Reactant,663_MA-TS_21-22,663_MA-TS_21-22_Product,9.07,1.6,7.47,10.4,1.62,8.78,-4.33,8.28,-12.61,-2.85,8.81,-11.66
666_MA-TS_28-29_Reactant,666_MA-TS_28-29,666_MA-TS_28-29_Product,12.8,11.61,1.2,14.87,10.52,4.35,1.47,19.19,-17.72,0.56,15.14,-14.57
672_MA-TS_37-38_Reactant,672_MA-TS_37-38,672_MA-TS_37-38_Product,17.15,0.63,16.52,17.93,1.38,16.55,5.37,1.79,3.59,8.93,1.1,7.83
673_MA-TS_33-34_Reactant,673_MA-TS_33-34,673_MA-TS_33-34_Product,20.89,6.47,14.42,18.08,5.29,12.79,17.43,18.83,-1.4,19.2,14.81,4.39
677_MA-TS_25-26_Reactant,677_MA-TS_25-26,677_MA-TS_25-26_Product,10.68,6.69,3.99,7.45,4.61,2.85,-2.89,12.79,-15.68,-8.49,9.99,-18.48
678_MA-TS_22-23_Reactant,678_MA-TS_22-23,678_MA-TS_22-23_Product,5.08,8.62,-3.55,4.74,9.11,-4.36,-4.89,21.68,-26.57,-2.91,20.37,-23.28
680_MA-TS_5-6_Reactant,680_MA-TS_5-6,680_MA-TS_5-6_Product,10.57,5.64,4.92,7.97,4.89,3.08,-6.87,12.25,-19.12,-4.82,10.75,-15.57
681_MA-TS_24-25_Reactant,681_MA-TS_24-25,681_MA-TS_24-25_Product,11.21,5.11,6.1,9.48,5.39,4.08,-0.91,12.39,-13.3,2.28,13.33,-11.05
682_MA-TS_23-24_Reactant,682_MA-TS_23-24,682_MA-TS_23-24_Product,0.01,3.42,-3.42,0.72,2.27,-1.55,-1.0,15.16,-16.16,-2.49,13.81,-16.3
683_MA-TS_5-6_Reactant,683_MA-TS_5-6,683_MA-TS_5-6_Product,12.24,9.72,2.53,10.16,9.25,0.91,1.56,23.0,-21.45,2.44,20.15,-17.71
685_MA-TS_24-25_Reactant,685_MA-TS_24-25,685_MA-TS_24-25_Product,10.32,5.83,4.49,7.87,4.63,3.24,-0.06,14.22,-14.28,1.42,10.77,-9.35
687_MA-TS_22-23_Reactant,687_MA-TS_22-23,687_MA-TS_22-23_Product,5.61,8.54,-2.93,5.34,7.76,-2.42,-4.04,21.53,-25.57,-3.34,19.74,-23.08
688_MA-TS_23-24_Reactant,688_MA-TS_23-24,688_MA-TS_23-24_Product,3.18,12.99,-9.81,5.49,10.82,-5.33,-11.16,17.92,-29.08,-11.29,17.13,-28.42
692_MA-TS_25-26_Reactant,692_MA-TS_25-26,692_MA-TS_25-26_Product,1.58,10.7,-9.12,2.46,10.43,-7.97,-6.09,18.66,-24.75,-5.04,17.46,-22.5
697_MA-TS_25-26_Reactant,697_MA-TS_25-26,697_MA-TS_25-26_Product,1.3,6.77,-5.48,4.18,6.87,-2.7,-6.39,15.84,-22.22,-8.12,12.24,-20.36
700_MA-TS_24-25_Reactant,700_MA-TS_24-25,700_MA-TS_24-25_Product,4.61,9.0,-4.39,4.62,9.42,-4.8,-8.83,16.07,-24.9,-0.98,17.03,-18.01
702_MA-TS_35-36_Reactant,702_MA-TS_35-36,702_MA-TS_35-36_Product,19.89,13.9,5.99,18.84,11.88,6.96,8.63,17.94,-9.3,12.21,15.84,-3.63
703_MA-TS_34-35_Reactant,703_MA-TS_34-35,703_MA-TS_34-35_Product,6.8,8.07,-1.27,8.29,6.01,2.29,-3.12,15.05,-18.17,-1.24,15.69,-16.93
704_MA-TS_34-35_Reactant,704_MA-TS_34-35,704_MA-TS_34-35_Product,21.16,1.21,19.95,18.32,1.35,16.97,10.08,4.71,5.37,11.81,5.35,6.46
706_MA-TS_34-35_Reactant,706_MA-TS_34-35,706_MA-TS_34-35_Product,11.68,6.35,5.32,12.55,6.19,6.36,5.46,9.57,-4.11,10.71,9.36,1.35
707_MA-TS_35-36_Reactant,707_MA-TS_35-36,707_MA-TS_35-36_Product,8.28,1.27,7.01,10.12,0.68,9.44,-0.34,4.64,-4.98,-1.78,5.73,-7.5
710_MA-TS_36-37_Reactant,710_MA-TS_36-37,710_MA-TS_36-37_Product,9.42,1.86,7.56,12.34,1.21,11.13,-1.28,3.07,-4.35,1.02,3.95,-2.94
711_MA-TS_33-34_Reactant,711_MA-TS_33-34,711_MA-TS_33-34_Product,10.33,2.14,8.2,12.88,1.38,11.5,-0.7,4.95,-5.65,0.49,1.35,-0.86
712_MA-TS_33-34_Reactant,712_MA-TS_33-34,712_MA-TS_33-34_Product,15.5,0.96,14.54,18.44,0.95,17.49,2.66,3.03,-0.37,1.7,3.34,-1.64
714_MA-TS_35-36_Reactant,714_MA-TS_35-36,714_MA-TS_35-36_Product,14.04,1.51,12.52,14.27,0.63,13.64,2.58,1.29,1.29,7.5,2.21,5.29
715_MA-TS_33-34_Reactant,715_MA-TS_33-34,715_MA-TS_33-34_Product,13.8,4.46,9.34,14.71,4.77,9.94,10.36,13.89,-3.52,7.15,10.67,-3.52
716_MA-TS_26-27_Reactant,716_MA-TS_26-27,716_MA-TS_26-27_Product,7.01,0.65,6.36,8.62,0.26,8.35,-2.92,3.14,-6.06,-1.86,2.91,-4.77
717_MA-TS_34-35_Reactant,717_MA-TS_34-35,717_MA-TS_34-35_Product,14.37,0.17,14.2,13.12,0.61,12.5,-0.72,1.65,-2.37,1.02,2.51,-1.49
718_MA-TS_33-34_Reactant,718_MA-TS_33-34,718_MA-TS_33-34_Product,2.82,15.99,-13.17,3.96,15.72,-11.75,-2.82,24.49,-27.31,-2.58,22.32,-24.9
723_MA-TS_3-4_Reactant,723_MA-TS_3-4,723_MA-TS_3-4_Product,4.08,2.98,1.11,6.27,4.29,1.98,-3.58,10.43,-14.01,-2.24,7.42,-9.66
725_MA-TS_34-35_Reactant,725_MA-TS_34-35,725_MA-TS_34-35_Product,35.48,12.97,22.51,36.48,13.24,23.24,23.99,17.77,6.22,23.75,16.94,6.8
726_MA-TS_27-28_Reactant,726_MA-TS_27-28,726_MA-TS_27-28_Product,14.07,2.1,11.97,16.09,1.28,14.81,3.94,5.33,-1.39,3.39,4.29,-0.89
730_MA-TS_33-34_Reactant,730_MA-TS_33-34,730_MA-TS_33-34_Product,5.78,1.35,4.43,8.78,0.6,8.17,-0.41,5.14,-5.55,1.52,5.62,-4.1
739_MA-TS_11-12_Reactant,739_MA-TS_11-12,739_MA-TS_11-12_Product,9.77,0.66,9.12,9.97,1.18,8.79,-8.2,4.07,-12.26,-6.49,4.29,-10.78
743_MA-TS_6-7_Reactant,743_MA-TS_6-7,743_MA-TS_6-7_Product,4.38,2.4,1.97,7.01,2.97,4.04,-5.64,10.5,-16.14,-5.25,8.68,-13.92
747_MA-TS_6-7_Reactant,747_MA-TS_6-7,747_MA-TS_6-7_Product,18.13,2.38,15.75,14.88,2.18,12.7,5.53,13.17,-7.64,5.11,11.03,-5.91
749_MA-TS_6-7_Reactant,749_MA-TS_6-7,749_MA-TS_6-7_Product,3.65,2.44,1.21,5.99,2.85,3.14,-3.93,8.66,-12.58,-0.09,9.91,-10.0
754_MA-TS_35-36_Reactant,754_MA-TS_35-36,754_MA-TS_35-36_Product,23.65,2.03,21.62,21.87,1.53,20.34,12.62,6.52,6.1,15.21,4.67,10.54
755_MA-TS_36-37_Reactant,755_MA-TS_36-37,755_MA-TS_36-37_Product,6.44,2.12,4.32,9.95,3.36,6.58,-1.91,4.7,-6.61,1.72,1.97,-0.25
756_MA-TS_39-40_Reactant,756_MA-TS_39-40,756_MA-TS_39-40_Product,10.36,3.47,6.9,13.84,2.37,11.47,0.24,8.68,-8.44,-1.63,8.52,-10.15
759_MA-TS_38-39_Reactant,759_MA-TS_38-39,759_MA-TS_38-39_Product,7.78,1.17,6.6,12.07,1.37,10.7,-0.93,4.18,-5.12,0.51,2.34,-1.84
760_MA-TS_37-38_Reactant,760_MA-TS_37-38,760_MA-TS_37-38_Product,19.73,1.28,18.46,19.07,1.08,17.99,20.55,3.19,17.35,22.58,4.41,18.17
761_MA-TS_40-41_Reactant,761_MA-TS_40-41,761_MA-TS_40-41_Product,2.48,7.82,-5.34,3.56,4.98,-1.42,-4.47,11.99,-16.46,-4.25,9.51,-13.76
764_MA-TS_37-38_Reactant,764_MA-TS_37-38,764_MA-TS_37-38_Product,6.14,1.97,4.18,6.31,1.88,4.43,1.51,5.74,-4.23,4.24,-3.93,8.17
765_MA-TS_37-38_Reactant,765_MA-TS_37-38,765_MA-TS_37-38_Product,11.78,2.37,9.42,17.78,2.8,14.98,-0.56,6.15,-6.72,-2.98,3.99,-6.97
768_MA-TS_38-39_Reactant,768_MA-TS_38-39,768_MA-TS_38-39_Product,6.66,18.99,-12.33,8.72,14.82,-6.11,-1.65,18.04,-19.7,2.58,20.85,-18.26
774_MA-TS_37-38_Reactant,774_MA-TS_37-38,774_MA-TS_37-38_Product,5.25,1.38,3.86,6.34,0.53,5.82,-2.03,4.07,-6.1,0.12,5.05,-4.93
777_MA-TS_36-37_Reactant,777_MA-TS_36-37,777_MA-TS_36-37_Product,23.32,0.31,23.01,21.68,-0.06,21.74,9.89,2.28,7.61,11.3,3.11,8.19
778_MA-TS_37-38_Reactant,778_MA-TS_37-38,778_MA-TS_37-38_Product,9.62,1.5,8.12,11.76,1.69,10.07,2.35,3.27,-0.92,2.38,1.49,0.89
797_MA-TS_39-40_Reactant,797_MA-TS_39-40,797_MA-TS_39-40_Product,8.47,2.95,5.52,10.0,2.69,7.3,-2.16,5.46,-7.62,1.54,8.64,-7.1
798_MA-TS_38-39_Reactant,798_MA-TS_38-39,798_MA-TS_38-39_Product,17.95,6.67,11.28,17.54,5.11,12.44,9.12,12.35,-3.23,15.79,11.14,4.64
807_MA-TS_40-41_Reactant,807_MA-TS_40-41,807_MA-TS_40-41_Product,9.29,1.01,8.28,8.73,0.94,7.79,-2.19,6.16,-8.34,0.45,6.85,-6.4
808_MA-TS_38-39_Reactant,808_MA-TS_38-39,808_MA-TS_38-39_Product,0.54,5.96,-5.42,2.23,5.41,-3.18,-1.73,10.93,-12.66,-0.02,7.57,-7.6
809_MA-TS_43-44_Reactant,809_MA-TS_43-44,809_MA-TS_43-44_Product,5.53,3.03,2.51,8.28,3.01,5.27,-0.09,7.69,-7.77,1.8,7.11,-5.3
811_MA-TS_37-38_Reactant,811_MA-TS_37-38,811_MA-TS_37-38_Product,13.89,1.43,12.47,16.22,1.87,14.35,1.39,4.91,-3.52,2.77,3.75,-0.98
813_MA-TS_35-36_Reactant,813_MA-TS_35-36,813_MA-TS_35-36_Product,13.28,15.04,-1.76,13.47,10.48,2.99,-2.35,16.5,-18.85,-4.57,16.42,-20.99
814_MA-TS_42-43_Reactant,814_MA-TS_42-43,814_MA-TS_42-43_Product,15.33,0.31,15.02,16.5,1.57,14.94,4.06,3.29,0.77,9.81,3.55,6.26
822_MA-TS_34-35_Reactant,822_MA-TS_34-35,822_MA-TS_34-35_Product,14.43,16.97,-2.54,16.85,16.32,0.53,2.79,17.08,-14.29,5.03,16.32,-11.29
823_MA-TS_30-31_Reactant,823_MA-TS_30-31,823_MA-TS_30-31_Product,11.86,0.71,11.15,12.75,-0.46,13.21,0.53,2.68,-2.16,2.94,1.44,1.5
825_MA-TS_32-33_Reactant,825_MA-TS_32-33,825_MA-TS_32-33_Product,8.02,2.45,5.57,10.32,2.72,7.6,0.39,6.53,-6.15,3.71,6.64,-2.93
826_MA-TS_33-34_Reactant,826_MA-TS_33-34,826_MA-TS_33-34_Product,14.95,5.16,9.79,17.0,4.93,12.07,5.0,12.87,-7.87,8.83,12.24,-3.41
828_MA-TS_36-37_Reactant,828_MA-TS_36-37,828_MA-TS_36-37_Product,7.56,5.21,2.35,9.27,3.3,5.97,0.54,9.91,-9.37,2.03,10.25,-8.23
830_MA-TS_38-39_Reactant,830_MA-TS_38-39,830_MA-TS_38-39_Product,2.53,4.2,-1.67,2.99,3.22,-0.22,-4.84,9.46,-14.3,-2.78,9.11,-11.89
831_MA-TS_35-36_Reactant,831_MA-TS_35-36,831_MA-TS_35-36_Product,10.17,14.61,-4.44,11.64,12.54,-0.89,2.54,19.25,-16.71,5.87,18.97,-13.1
832_MA-TS_42-43_Reactant,832_MA-TS_42-43,832_MA-TS_42-43_Product,4.38,2.06,2.32,6.96,2.55,4.4,-2.06,5.1,-7.16,-4.04,3.7,-7.74
833_MA-TS_37-38_Reactant,833_MA-TS_37-38,833_MA-TS_37-38_Product,13.18,6.99,6.19,14.77,5.95,8.83,5.26,12.15,-6.9,4.84,9.09,-4.25
836_MA-TS_7-8_Reactant,836_MA-TS_7-8,836_MA-TS_7-8_Product,2.03,28.52,-26.48,1.93,27.22,-25.29,3.29,35.72,-32.43,4.7,32.85,-28.15
839_MA-TS_7-8_Reactant,839_MA-TS_7-8,839_MA-TS_7-8_Product,6.76,20.24,-13.49,7.78,18.81,-11.04,1.91,30.12,-28.21,5.31,28.88,-23.57
840_MA-TS_2-3_Reactant,840_MA-TS_2-3,840_MA-TS_2-3_Product,9.19,3.46,5.73,10.36,3.08,7.29,-1.83,11.14,-12.97,-1.07,8.67,-9.74
841_MA-TS_29-30_Reactant,841_MA-TS_29-30,841_MA-TS_29-30_Product,5.14,1.51,3.62,7.42,1.68,5.74,-2.72,6.62,-9.34,0.48,-1.94,2.41
842_MA-TS_4-5_Reactant,842_MA-TS_4-5,842_MA-TS_4-5_Product,6.36,9.28,-2.91,7.88,8.64,-0.75,-0.83,13.25,-14.09,0.67,12.61,-11.94
845_MA-TS_30-31_Reactant,845_MA-TS_30-31,845_MA-TS_30-31_Product,7.24,1.04,6.2,9.65,0.39,9.26,-2.67,3.69,-6.36,-0.66,3.52,-4.18
848_MA-TS_43-44_Reactant,848_MA-TS_43-44,848_MA-TS_43-44_Product,5.29,4.84,0.45,8.44,3.49,4.95,0.63,8.44,-7.8,2.54,5.0,-2.46
854_MA-TS_42-43_Reactant,854_MA-TS_42-43,854_MA-TS_42-43_Product,13.98,2.04,11.94,15.86,1.58,14.28,3.57,2.77,0.81,4.73,2.78,1.95
855_MA-TS_29-30_Reactant,855_MA-TS_29-30,855_MA-TS_29-30_Product,13.48,5.72,7.76,13.24,5.17,8.07,-0.25,6.31,-6.56,1.31,7.69,-6.38
