Reactant,Datapoint,Product,deTSR_refDZ,deTSP_refDZ,dePR_refDZ,dGTSR_refDZ,dGTSP_refDZ,dGPR_refDZ,deTSR_PM7,deTSP_PM7,dePR_PM7,dGTSR_PM7,dGTSP_PM7,dGPR_PM7
120_MA-TS_5-6_Reactant,120_MA-TS_5-6,120_MA-TS_5-6_Product,0.07,8.27,-8.2,1.36,7.11,-5.75,-2.77,19.67,-22.43,-3.01,19.05,-22.06
154_MA-TS_13-14_Reactant,154_MA-TS_13-14,154_MA-TS_13-14_Product,11.14,8.36,2.78,8.6,6.69,1.91,2.25,13.63,-11.39,3.84,15.54,-11.69
170_MA-TS_5-6_Reactant,170_MA-TS_5-6,170_MA-TS_5-6_Product,11.42,9.83,1.59,9.92,8.29,1.64,-0.32,19.88,-20.21,0.72,17.93,-17.21
171_MA-TS_5-6_Reactant,171_MA-TS_5-6,171_MA-TS_5-6_Product,8.38,3.05,5.34,8.12,1.0,7.12,-12.73,0.71,-13.44,-10.87,-1.12,-9.75
173_MA-TS_5-6_Reactant,173_MA-TS_5-6,173_MA-TS_5-6_Product,1.7,1.83,-0.13,2.84,1.9,0.94,-9.07,10.02,-19.09,-8.96,10.55,-19.51
175_MA-TS_5-6_Reactant,175_MA-TS_5-6,175_MA-TS_5-6_Product,7.14,5.79,1.35,9.57,4.87,4.71,-3.78,13.92,-17.7,-0.88,15.4,-16.28
176_MA-TS_5-6_Reactant,176_MA-TS_5-6,176_MA-TS_5-6_Product,10.45,4.88,5.57,9.95,4.99,4.96,6.02,15.79,-9.77,5.95,15.34,-9.39
178_MA-TS_5-6_Reactant,178_MA-TS_5-6,178_MA-TS_5-6_Product,0.8,9.93,-9.13,1.23,8.83,-7.6,-7.15,18.72,-25.87,-6.78,15.56,-22.34
180_MA-TS_5-6_Reactant,180_MA-TS_5-6,180_MA-TS_5-6_Product,0.23,6.97,-6.74,0.71,5.92,-5.21,-3.88,21.93,-25.81,-5.75,21.3,-27.05
184_MA-TS_5-6_Reactant,184_MA-TS_5-6,184_MA-TS_5-6_Product,4.12,10.05,-5.93,4.62,8.69,-4.07,-3.06,20.84,-23.9,-1.62,20.78,-22.4
185_MA-TS_5-6_Reactant,185_MA-TS_5-6,185_MA-TS_5-6_Product,1.4,6.57,-5.16,3.6,5.6,-2.0,-4.56,16.75,-21.31,-2.77,13.9,-16.67
187_MA-TS_5-6_Reactant,187_MA-TS_5-6,187_MA-TS_5-6_Product,4.54,4.06,0.48,6.78,4.72,2.06,-2.81,12.57,-15.39,-4.55,12.4,-16.95
188_MA-TS_5-6_Reactant,188_MA-TS_5-6,188_MA-TS_5-6_Product,8.38,5.18,3.2,8.89,4.44,4.46,-4.72,8.24,-12.96,-1.94,5.31,-7.24
190_MA-TS_5-6_Reactant,190_MA-TS_5-6,190_MA-TS_5-6_Product,9.06,2.59,6.47,9.63,2.04,7.59,3.71,13.63,-9.92,9.56,15.45,-5.89
191_MA-TS_5-6_Reactant,191_MA-TS_5-6,191_MA-TS_5-6_Product,9.3,6.55,2.75,8.83,5.96,2.87,-0.48,20.15,-20.62,-0.53,20.26,-20.79
193_MA-TS_5-6_Reactant,193_MA-TS_5-6,193_MA-TS_5-6_Product,1.41,2.49,-1.08,1.86,3.3,-1.45,-4.76,13.26,-18.01,-3.92,13.1,-17.02
194_MA-TS_5-6_Reactant,194_MA-TS_5-6,194_MA-TS_5-6_Product,9.24,3.53,5.72,9.32,3.69,5.63,-4.78,11.26,-16.04,-1.28,13.88,-15.16
196_MA-TS_5-6_Reactant,196_MA-TS_5-6,196_MA-TS_5-6_Product,4.22,10.04,-5.82,6.4,10.0,-3.6,-6.47,17.11,-23.59,-5.73,11.75,-17.49
199_MA-TS_5-6_Reactant,199_MA-TS_5-6,199_MA-TS_5-6_Product,3.17,1.17,1.99,5.02,1.35,3.67,-9.27,6.23,-15.49,-10.9,5.76,-16.66
203_MA-TS_5-6_Reactant,203_MA-TS_5-6,203_MA-TS_5-6_Product,7.59,3.54,4.05,7.5,4.49,3.01,-11.24,8.49,-19.73,-13.9,8.37,-22.28
209_MA-TS_5-7_Reactant,209_MA-TS_5-7,209_MA-TS_5-7_Product,6.06,9.74,-3.68,7.03,9.25,-2.22,-5.47,11.91,-17.38,-4.22,9.45,-13.67
210_MA-TS_5-7_Reactant,210_MA-TS_5-7,210_MA-TS_5-7_Product,3.75,2.54,1.21,6.64,2.3,4.35,-3.83,6.92,-10.75,-0.45,5.83,-6.27
211_MA-TS_5-7_Reactant,211_MA-TS_5-7,211_MA-TS_5-7_Product,4.43,0.26,4.17,7.27,1.4,5.87,-6.04,3.67,-9.7,-4.46,3.46,-7.92
212_MA-TS_5-7_Reactant,212_MA-TS_5-7,212_MA-TS_5-7_Product,0.53,9.78,-9.25,2.25,9.89,-7.64,-2.77,15.19,-17.96,-0.52,19.1,-19.62
213_MA-TS_5-7_Reactant,213_MA-TS_5-7,213_MA-TS_5-7_Product,3.26,5.9,-2.64,3.83,4.77,-0.93,-5.11,9.64,-14.75,-1.22,9.87,-11.09
214_MA-TS_5-7_Reactant,214_MA-TS_5-7,214_MA-TS_5-7_Product,0.96,6.79,-5.83,1.76,6.87,-5.11,-3.86,15.42,-19.28,-0.56,13.98,-14.55
216_MA-TS_5-7_Reactant,216_MA-TS_5-7,216_MA-TS_5-7_Product,4.67,10.69,-6.03,6.37,11.3,-4.93,-4.64,13.84,-18.48,-4.07,13.22,-17.29
220_MA-TS_5-6_Reactant,220_MA-TS_5-6,220_MA-TS_5-6_Product,6.0,5.96,0.05,7.51,5.92,1.6,2.75,13.65,-10.9,1.47,9.69,-8.22
221_MA-TS_5-6_Reactant,221_MA-TS_5-6,221_MA-TS_5-6_Product,19.6,6.77,12.83,19.43,6.27,13.16,1.42,15.3,-13.88,6.47,17.71,-11.25
222_MA-TS_5-6_Reactant,222_MA-TS_5-6,222_MA-TS_5-6_Product,10.58,4.61,5.97,10.77,3.86,6.91,1.92,9.11,-7.19,1.64,6.89,-5.26
224_MA-TS_5-7_Reactant,224_MA-TS_5-7,224_MA-TS_5-7_Product,7.36,5.77,1.59,8.04,4.68,3.35,6.03,14.18,-8.15,6.26,13.09,-6.84
225_MA-TS_5-6_Reactant,225_MA-TS_5-6,225_MA-TS_5-6_Product,6.03,5.88,0.16,6.93,5.49,1.45,3.31,13.45,-10.14,5.64,13.25,-7.61
226_MA-TS_5-6_Reactant,226_MA-TS_5-6,226_MA-TS_5-6_Product,12.48,8.01,4.47,11.78,7.4,4.38,3.77,11.42,-7.65,6.78,8.55,-1.77
229_MA-TS_5-7_Reactant,229_MA-TS_5-7,229_MA-TS_5-7_Product,2.77,5.75,-2.97,4.5,4.2,0.3,-2.87,10.92,-13.79,-0.79,10.12,-10.91
232_MA-TS_5-6_Reactant,232_MA-TS_5-6,232_MA-TS_5-6_Product,9.12,4.93,4.2,7.38,5.2,2.17,2.51,9.48,-6.97,4.18,9.93,-5.75
233_MA-TS_5-6_Reactant,233_MA-TS_5-6,233_MA-TS_5-6_Product,0.75,9.18,-8.44,3.36,10.02,-6.66,-3.1,18.2,-21.3,-3.48,15.53,-19.0
234_MA-TS_5-6_Reactant,234_MA-TS_5-6,234_MA-TS_5-6_Product,10.81,7.02,3.79,13.5,4.84,8.65,1.45,12.34,-10.89,2.71,10.82,-8.11
236_MA-TS_5-7_Reactant,236_MA-TS_5-7,236_MA-TS_5-7_Product,9.75,7.41,2.34,12.75,7.23,5.52,-1.08,13.75,-14.83,-3.13,8.43,-11.56
238_MA-TS_5-6_Reactant,238_MA-TS_5-6,238_MA-TS_5-6_Product,1.33,6.6,-5.27,2.79,4.66,-1.87,-3.6,12.33,-15.93,-0.04,14.14,-14.18
239_MA-TS_5-6_Reactant,239_MA-TS_5-6,239_MA-TS_5-6_Product,2.05,9.02,-6.97,5.03,8.02,-2.99,-1.99,15.47,-17.46,0.49,13.91,-13.42
241_MA-TS_5-6_Reactant,241_MA-TS_5-6,241_MA-TS_5-6_Product,4.85,8.26,-3.41,5.29,7.96,-2.68,3.25,17.42,-14.17,4.61,11.75,-7.14
243_MA-TS_5-6_Reactant,243_MA-TS_5-6,243_MA-TS_5-6_Product,8.06,4.25,3.81,10.97,4.67,6.3,0.27,6.76,-6.49,-1.22,6.6,-7.82
250_MA-TS_5-6_Reactant,250_MA-TS_5-6,250_MA-TS_5-6_Product,10.56,20.35,-9.78,10.2,16.57,-6.37,0.08,25.41,-25.33,2.81,25.21,-22.4
254_MA-TS_5-6_Reactant,254_MA-TS_5-6,254_MA-TS_5-6_Product,7.36,0.79,6.57,6.2,0.4,5.8,-5.42,5.16,-10.58,-3.18,3.94,-7.11
255_MA-TS_5-6_Reactant,255_MA-TS_5-6,255_MA-TS_5-6_Product,0.52,3.39,-2.87,1.49,4.17,-2.68,-2.18,6.16,-8.34,-0.3,9.38,-9.68
256_MA-TS_5-6_Reactant,256_MA-TS_5-6,256_MA-TS_5-6_Product,12.41,3.63,8.78,13.4,3.26,10.15,7.79,8.76,-0.97,13.02,9.35,3.66
257_MA-TS_5-6_Reactant,257_MA-TS_5-6,257_MA-TS_5-6_Product,30.0,4.64,25.36,28.51,3.91,24.6,15.23,8.46,6.77,17.09,5.67,11.42
260_MA-TS_25-26_Reactant,260_MA-TS_25-26,260_MA-TS_25-26_Product,3.28,2.09,1.18,4.71,1.93,2.78,-1.63,7.97,-9.6,-1.06,7.1,-8.16
