Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR,HR,HTS,HP,freqR,freqTS,freqP,irR,irTS,irP,dipoleR,dipoleTS,dipoleP,homoR,homoTS,homoP,lumoR,lumoTS,lumoP,qhirshR,qhirshTS,qhirshP
558_MA-TS_40-41_Reactant,558_MA-TS_40-41,558_MA-TS_40-41_Product,-0.88155446459,-0.929951821558,-0.113106416197,0.523389,0.523082,0.504726,-30.37,-512.58,482.21,-0.19,11.52,-11.71,0.633304,0.628308,0.60899,-179.5183,-239.7039,-177.3259,0.098,678.5771,0.5634,18.3219,34.4034,9.0476,-0.16036,-0.17427,-0.18017,0.02731,0.03703,0.04121,4.4e-05,4.6e-05,4.5e-05
559_MA-TS_40-41_Reactant,559_MA-TS_40-41,559_MA-TS_40-41_Product,-0.758693647444,-0.804680909882,-0.962644679535,0.538946,0.538344,0.523632,-28.86,99.12,-127.98,-0.38,9.23,-9.61,0.644295,0.640743,0.628491,-195.6511,-208.0381,-162.5404,0.1995,301.7141,0.6605,11.4386,74.0087,1.8922,-0.1627,-0.16986,-0.18381,0.03918,0.04634,0.05266,4.7e-05,4.9e-05,4.9e-05
564_MA-TS_40-41_Reactant,564_MA-TS_40-41,564_MA-TS_40-41_Product,-0.42747786561,-0.327794528284,-0.46989115619,0.607291,0.619487,0.606383,62.55,89.17,-26.61,7.65,8.22,-0.57,0.711979,0.721051,0.704902,-171.0886,-234.1179,-752.7514,0.0334,453.4525,33.3194,11.6785,51.06,7.4775,-0.15831,-0.17985,-0.18659,0.04149,0.03412,0.04007,4.5e-05,4.5e-05,4.6e-05
567_MA-TS_35-36_Reactant,567_MA-TS_35-36,567_MA-TS_35-36_Product,-0.153391850287,-0.14963697451,-0.171005893102,0.410549,0.415409,0.397841,2.36,13.41,-11.05,3.05,11.02,-7.97,0.514894,0.518528,0.499478,-179.6425,-267.6175,-209.8198,0.773,5.5803,1.4549,13.653,73.5346,8.4919,-0.15144,-0.14782,-0.16783,0.04587,0.03901,0.04775,4e-05,3.9e-05,3.9e-05
568_MA-TS_2-3_Reactant,568_MA-TS_2-3,568_MA-TS_2-3_Product,-0.889047100391,-0.786243617481,-0.109475347841,0.44351,0.457474,0.431029,64.51,-424.68,489.19,8.76,16.59,-7.83,0.548399,0.558947,0.530782,-159.0491,-229.8373,-200.3108,0.2177,221.2016,0.5117,10.2514,20.7094,13.9063,-0.14684,-0.15515,-0.15974,0.03775,0.03696,0.03541,3.6e-05,3.8e-05,3.9e-05
571_MA-TS_31-32_Reactant,571_MA-TS_31-32,571_MA-TS_31-32_Product,-0.344016685644,-0.34335245992,-0.353147749318,0.226587,0.230154,0.22063,0.42,6.15,-5.73,2.24,5.98,-3.74,0.328537,0.327091,0.319975,-191.3888,-674.8218,-247.8109,0.9438,39.6747,10.7714,11.9162,64.0895,14.3287,-0.14912,-0.16356,-0.16139,0.05279,0.05167,0.0531,3.8e-05,3.9e-05,3.9e-05
573_MA-TS_32-33_Reactant,573_MA-TS_32-33,573_MA-TS_32-33_Product,-0.353929578885,-0.349893679258,-0.360363020111,0.218681,0.226684,0.215487,2.53,6.57,-4.04,5.02,7.03,-2.0,0.318622,0.323188,0.312334,-194.1094,-201.0454,-183.4154,0.3565,0.5626,0.3165,7.9196,58.1843,7.9193,-0.16891,-0.16661,-0.16782,0.06149,0.06035,0.06623,4.1e-05,4.2e-05,4e-05
574_MA-TS_31-32_Reactant,574_MA-TS_31-32,574_MA-TS_31-32_Product,-0.312468062431,-0.310408721027,-0.311952578607,0.254649,0.260154,0.260882,1.29,0.97,0.32,3.45,-0.46,3.91,0.356282,0.357916,0.356408,-186.6794,-181.279,-183.2373,38.6402,37.8444,38.4503,24.3972,48.4854,30.7678,-0.14451,-0.14995,-0.14523,0.04562,0.03487,0.03753,4.4e-05,4.5e-05,4.5e-05
578_MA-TS_36-37_Reactant,578_MA-TS_36-37,578_MA-TS_36-37_Product,-0.299839167739,-0.291453784557,-0.318460369337,0.314337,0.331519,0.306974,5.26,16.95,-11.68,10.78,15.4,-4.62,0.425597,0.438142,0.407533,-793.9946,-213.607,-604.3193,31.4741,1.2376,27.4846,18.5108,50.4508,13.2386,-0.15451,-0.15959,-0.1659,0.0421,0.04616,0.05424,4.1e-05,4.2e-05,4.1e-05
587_MA-TS_34-35_Reactant,587_MA-TS_34-35,587_MA-TS_34-35_Product,-0.274917237985,-0.269180678646,-0.274694135082,0.270638,0.277133,0.27351,3.6,3.46,0.14,4.08,2.27,1.8,0.372523,0.376446,0.371886,-183.2761,-638.3113,-208.4796,0.7966,20.9755,1.3678,17.6285,59.706,5.6956,-0.15302,-0.15816,-0.15044,0.04601,0.0585,0.0622,4e-05,3.9e-05,3.9e-05
588_MA-TS_35-36_Reactant,588_MA-TS_35-36,588_MA-TS_35-36_Product,-0.263629187315,-0.262725771179,-0.266426346185,0.302265,0.30717,0.30624,0.57,2.32,-1.76,3.08,0.58,2.49,0.406497,0.408729,0.402867,-212.0317,-208.9395,-940.1258,0.3222,0.5034,43.9193,28.1448,23.3758,26.4146,-0.15219,-0.16012,-0.159,0.02424,0.02671,0.03002,3.9e-05,4.2e-05,4.2e-05
589_MA-TS_36-37_Reactant,589_MA-TS_36-37,589_MA-TS_36-37_Product,-0.302629851745,-0.307087515462,-0.318596639896,0.292296,0.291463,0.277334,-2.8,7.22,-10.02,-0.52,8.87,-9.39,0.393231,0.393843,0.3776,-242.7437,-215.2107,-7566.4702,1.2907,487.6949,2356.6283,18.295,58.2283,6.3684,-0.15279,-0.16601,-0.17008,0.04983,0.06016,0.0729,3.9e-05,3.9e-05,3.9e-05
